--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
signal_tower_传送点已完成校准,Точка телепортации откалибрована
signal_tower_无需材料可直接激活,"Не требуется материалов, можно активировать"
signal_tower_传送权已激活,Право телепортации активировано
signal_tower_材料齐备可激活直传,"Материалы готовы, можно активировать прямую телепортацию"
signal_tower_提交材料激活直传,Сдать материалы для активации прямой телепортации
signal_tower_之后可直接传送至该区域,После этого можно напрямую телепортироваться в эту зону
signal_tower_全部材料已满足提交后立即开启传送权限,"Все материалы собраны, после сдачи сразу откроется доступ к телепортации"
signal_tower_已激活,Активировано
signal_tower_提交材料,Сдать материалы
signal_tower_材料不足,Недостаточно материалов
signal_tower_地图信号塔,Сигнальная вышка карты
signal_tower_已解锁,Разблокировано
signal_tower_可激活,Можно активировать
signal_tower_待补给,Ожидает пополнения
signal_tower_校准进度,Прогресс калибровки
signal_tower_所需材料,Требуемые материалы
signal_tower_无需材料,Материалы не требуются
signal_tower_已备齐,Всё готово
signal_tower_已提交,Сдано
signal_tower_该传送点不需要额外材料可直接激活,"Эта точка телепорта не требует дополнительных материалов, можно активировать напрямую."
signal_tower_激活后永久生效,После активации действует постоянно
signal_tower_当前地图已记录为可传送区域,Текущая карта отмечена как область для телепортации.
signal_tower_提交材料会消耗背包中的对应物品并解锁该区域直传,Сдача материалов расходует соответствующие предметы из рюкзака и разблокирует прямую телепортацию в этот регион.
signal_tower_关闭,Закрыть
signal_tower_X项材料就绪,Готово материалов: {ready}/{total}
signal_tower_仍缺少X份材料,Не хватает {count} материалов
signal_tower_缺少X,Не хватает {count}
signal_tower_本次提交X缺少Y,"Сдано {submit}, не хватает {missing}"