--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 5e0d361 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
text_close,关闭,Close,Закрыть,
text_open,抽取福佑,Draw Bless,Взять благо,
nav_exit,离开,Leave,Покинуть,
nav_setting,设置,Settings,Настройки,
nav_score,计分板,Scoreboard,Таблица результатов,
nav_store,商城,Store,Магазин,
custom_bless_alert_self,我拥有福佑 <font color='%s1'>%s3</font>,I have Bless: <font color='%s1'>%s3</font>,У меня есть благословение: <font color='%s1'>%s3</font>,自定义福佑提示
custom_bless_alert_ally,队友 <font color='%s4'>%s5</font> 拥有福佑 <font color='%s1'>%s3</font>,Ally <font color='%s4'>%s5</font> has Bless: <font color='%s1'>%s3</font>,У союзника <font color='%s4'>%s5</font> есть благословение: <font color='%s1'>%s3</font>,自定义福佑提示
custom_bless_alert_enemy,敌人 <font color='%s4'>%s5</font> 拥有福佑 <font color='%s1'>%s3</font>,Enemy <font color='%s4'>%s5</font> has Bless: <font color='%s1'>%s3</font>,У врага <font color='%s4'>%s5</font> есть благословение: <font color='%s1'>%s3</font>,自定义福佑提示
DOTA_Chat_Poogie_Flee,,,,屏蔽官方提示
DOTA_Chat_NoBattlePoints_WrongLobby,,,,屏蔽官方提示
settle_reward_tooltip,每日前5局胜利将获得20刷新代币，每次秒退将损失5次奖励次数。,"First 5 daily wins grant 20 Refresh Tokens, each quit loses 5 rewards.","Первые 5 побед в день дают 20 Refresh Tokens, каждый лив отнимает 5 наград.",
bless_10140_zombie,僵王小僵尸,Small Zombie,Маленький Зомби,
bless_10169_cat,喵喵指挥官,Meow Commander,Командир Кошки,
bless_gain_reason_limit,仅能通过以下来源获得：,Can only be obtained from the following sources:,Можно получить только из следующих источников:,福佑获取原因限制描述
loading_error_settlement_type_6,组队人数异常，本局不参与正常对局结算。,Party size error. Results from this match will not be counted as normal settlement.,Ошибка в количестве гостей. Результат не будет учтён как обычная игра.,载入提示
bless_detail_amp,技能增强：,Spell Amp:,Усиление способностей:,
bless_detail_als,技能吸血：,Spell Lifesteal:,Вампиризм заклинаниями:,
bless_detail_bp,增益效果可驱散：,Dispellable:,Развеивается:,
bless_detail_dbp,减益效果可驱散：,Dispellable:,Развеивается:,
bless_detail_value_0,否,No,Нет,
bless_detail_value_1,是,Yes,Да,
bless_detail_value_2,仅强驱散,Strong Dispel Only,Только сильным развеиванием,
