--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
warehouse_当前分类下没有物品,Không có vật phẩm nào trong danh mục này
warehouse_全部,Tất cả
warehouse_材料,Nguyên liệu
warehouse_装备,Trang bị
warehouse_药剂,Thuốc
warehouse_符印,Ấn phù
warehouse_整理,Sắp xếp
warehouse_默认,Mặc định
warehouse_按价值,Theo giá trị
warehouse_仓库容量,Kho ({used}/{max})
warehouse_估值X,Định giá {value}
warehouse_分页状态,Trang {page}/{pages}