--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
pet_config_popup_普通,Thường
pet_config_popup_精良,Tinh xảo
pet_config_popup_稀有,Hiếm
pet_config_popup_史诗,Sử thi
pet_config_popup_传说,Huyền thoại
pet_config_popup_神话,Thần thoại
pet_config_popup_宠物配置,Cấu hình thú cưng
pet_config_popup_自动拾取,Tự động nhặt
pet_config_popup_已开启,Đã bật
pet_config_popup_已关闭,Đã tắt
pet_config_popup_拾取等级,Cấp độ nhặt
pet_config_popup_全选,Chọn tất cả
pet_config_popup_清空,Xóa
pet_config_popup_拾取品质,Chất lượng nhặt
pet_config_popup_应用,Áp dụng
pet_config_popup_X级,Cấp {level}
pet_config_popup_材料,Nguyên liệu
pet_config_popup_装备,Trang bị
pet_config_popup_符印,Ấn phù
pet_config_popup_图纸,Bản vẽ
pet_config_popup_药剂,Thuốc
pet_config_popup_其他,Khác
pet_config_popup_全捡,Nhặt tất cả
pet_config_popup_成长,Trưởng thành
pet_config_popup_高价值,Giá trị cao
pet_config_popup_材料图纸,Vật liệu & bản vẽ
pet_config_popup_自定义,Tùy chỉnh
pet_config_popup_拾取类型,Loại nhặt
pet_config_popup_当前预设,Hiện tại: {preset}
pet_hover_tooltip_未出战,Chưa xuất chiến
pet_hover_tooltip_自动拾取已开启,Tự động nhặt đã bật
pet_hover_tooltip_自动拾取已关闭,Tự động nhặt đã tắt
pet_hover_tooltip_等级,Cấp độ
pet_hover_tooltip_品质,Phẩm chất
pet_hover_tooltip_预设,Cài đặt trước
pet_hover_tooltip_类型,Loại
pet_hover_tooltip_左键提示,Nhấn chuột trái   Bật / Tắt tự động nhặt của thú cưng
pet_hover_tooltip_右键提示,Nhấn chuột phải   Mở cấu hình thú cưng
pet_config_popup_图鉴拾取名单,Danh sách nhặt bách khoa
pet_config_popup_白名单,Danh sách trắng
pet_config_popup_黑名单,Danh sách đen
pet_config_popup_暂无物品,Chưa có vật phẩm
pet_config_popup_可在图鉴中将物品加入黑白名单,Có thể thêm vật phẩm vào danh sách đen/trắng trong sổ tay