--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
pet_panel_蓝龙,Синий дракон
pet_panel_女巫,Ведьма
pet_panel_雷狼龙,Громовой волк
pet_panel_兼具狼的敏捷与龙的压迫感行动间会带起细碎雷光,"Сочетает ловкость волка с внушительностью дракона, при движении порождает мелкие разряды молний."
pet_panel_攻击力,Сила атаки
pet_panel_生命值,Здоровье
pet_panel_移动速度,Скорость передвижения
pet_panel_生命回复,Восстановление здоровья
pet_panel_仓库格子,Ячейки склада
pet_panel_背包格子,Ячейки рюкзака
pet_panel_宠物,Питомец
pet_panel_精良,Качественный
pet_panel_稀有,Редкий
pet_panel_史诗,Эпический
pet_panel_传说,Легендарный
pet_panel_神话,Мифический
pet_panel_已拥有宠物,Полученные питомцы
pet_panel_当前出战,В бою
pet_panel_未设置,Не выбрано
pet_panel_出战中,В бою
pet_panel_待命,В готовности
pet_panel_我的宠物,Мои питомцы
pet_panel_选择一只宠物查看详情,"Выберите питомца, чтобы просмотреть подробности"
pet_panel_可设为出战,Можно назначить боевым
pet_panel_已出战,Уже в бою
pet_panel_当前还没有已拥有的宠物,Пока нет питомцев в собственности
pet_panel_当前出战宠物,Текущий боевой питомец
pet_panel_与驯兽师对话后可在这里切换当前出战宠物,"Поговорив с укротителем, вы сможете переключить текущего боевого питомца здесь."
pet_panel_设为出战,Назначить боевым
pet_panel_卸下宠物,Снять питомца
pet_panel_属性加成,Бонусы атрибутов
pet_panel_暂无可展示的宠物信息,Нет информации о питомце для отображения
pet_panel_当前选中,Выбрано сейчас
pet_panel_该宠物当前没有额外属性加成,У этого питомца сейчас нет дополнительных бонусов атрибутов
pet_panel_宠物品质,Качество питомца
pet_panel_宠物移速,Скорость передвижения питомца
pet_panel_宠物配置,Конфигурация питомца
pet_panel_温顺却不失威严的幼龙擅长陪伴冒险者踏入漫长旅途,"Послушный, но величественный дракончик, отлично подходит для сопровождения искателей приключений в долгих путешествиях."
pet_panel_戴着尖帽的灵体使者静静跟随主人在黑夜里守望战场,"Духовный посланник в остроконечной шляпе, тихо следующий за хозяином, охраняет поле боя в темноте ночи."