--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
activation_code_尊敬的申请者,Уважаемый заявитель:
activation_code_申请内测前请确认以下内容点击同意并申请即表示您已,"Перед подачей заявки на закрытое бета-тестирование, пожалуйста, ознакомьтесь со следующим. Нажимая «Согласен и подать заявку», вы подтверждаете, что ознакомлены и принимаете все условия."
activation_code_一内测风险告知,1. Уведомление о рисках бета-тестирования
activation_code_1测试内容不完善风险,1. Риск несовершенства тестового контента
activation_code_2RPG游戏新鲜感损耗风险,2. Риск потери новизны RPG-игры
activation_code_3其他测试风险,3. Прочие риски тестирования
activation_code_二确认与承诺,II. Подтверждение и обязательства
activation_code_自愿承担风险,Добровольное принятие рисков
activation_code_尊重公测玩家体验,Уважение к опыту бета-тестеров
activation_code_遵守测试规范,Соблюдение правил тестирования
activation_code_禁止隐瞒重大Bug并利用其盈利,Запрет сокрытия критических багов и извлечения из них выгоды
activation_code_获取中,Получение...
activation_code_请输入内测码,Введите бета-код
activation_code_内测码已发放完毕,Бета-коды больше не выдаются
activation_code_欢迎参与Aow5内测,Добро пожаловать в бета-тест Aow5
activation_code_领取或输入内测激活码后即可进入游戏内测Q群808,"Получив или введя бета-код, вы сможете присоединиться к группе QQ для бета-тестирования: 808367181."
activation_code_剩余名额,Осталось мест
activation_code_当前状态,Текущий статус
activation_code_已获得激活码,Код активации получен
activation_code_等待激活,Ожидание активации
activation_code_限时领取内测码,Ограниченная по времени выдача бета-кодов
activation_code_每名玩家仅可获取一次,Каждый игрок может получить только один раз
activation_code_填充已申请内测码,Заполнить уже запрошенный бета-код
activation_code_申请内测资格,Заявка на участие в ЗБТ
activation_code_输入激活码,Введите активационный код
activation_code_领取后会自动填入输入框,После получения код будет автоматически вставлен в поле ввода
activation_code_进入游戏,Войти в игру
activation_code_游戏内测资格申请同意书,Соглашение о заявке на ЗБТ
activation_code_请完整阅读以下内容后再决定是否申请内测资格,"Пожалуйста, внимательно прочитайте нижеследующее, прежде чем решить подавать заявку на ЗБТ"
activation_code_已完成等待您现在可以选择同意并申请内测资格,Ожидание завершено. Теперь вы можете согласиться и подать заявку на ЗБТ
activation_code_暂不申请,Не подавать заявку
activation_code_同意并申请,Согласиться и подать заявку
activation_code_测试内容不完善风险说明,"Бета-тест может содержать незавершённые системы, временные значения, placeholder-контент, известные и неизвестные ошибки и т.д. Опыт тестирования может существенно отличаться от публичной версии."
activation_code_RPG游戏新鲜感损耗风险说明,"Участие в ЗБТ может позволить заранее ознакомиться с системами прогрессии, стилями игры, снаряжением, картами, заданиями и другим контентом, что снизит ощущение новизны при исследовании в публичной версии."
activation_code_其他测试风险说明,"Во время тестирования возможны временные остановки сервера, откаты данных, корректировка наград, изменения баланса, изменение правил и т.д. Подробности в официальных объявлениях."
activation_code_自愿承担风险说明,Я понимаю и принимаю вышеуказанные риски ЗБТ и добровольно участвую в тестировании.
activation_code_尊重公测玩家体验说明,"Я не буду злонамеренно распространять спойлеры или неподтверждённую информацию, чтобы не влиять на опыт других игроков."
activation_code_遵守测试规范说明,Я буду соблюдать правила тестирования и сообщать о проблемах через официальные каналы.
activation_code_禁止隐瞒重大Bug并利用其盈利说明,"Я не буду скрывать серьёзные ошибки или использовать их для получения выгоды, торговли или накрутки нечестных доходов."
activation_code_同意按钮倒计时,Кнопка согласия разблокируется через {seconds} секунд
activation_code_同意按钮倒计时按钮,Согласие ({seconds}s)