--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
greed_cave_倾天秘境,Царство Небопада
greed_cave_第X层已清理,Уровень {floor} очищен
greed_cave_X阶倾天秘境,Царство Небопада {tier}-го ранга
greed_cave_撤离或继续,Отступить или продолжить
greed_cave_剩余时间,Оставшееся время
greed_cave_生效倒计时,Таймер активации
greed_cave_秒,сек
greed_cave_继续票数,Голоса за продолжение
greed_cave_撤离,Отступить
greed_cave_继续,Продолжить
greed_cave_已选择撤离,Выбрано отступление
greed_cave_已选择继续,Выбрано продолжение
greed_cave_选择下一层代价,Выберите бремя следующего уровня
greed_cave_代价提示,Выберите одно бремя. Оно будет влиять на последующие уровни этого Царства Небопада.
greed_cave_当前代价,Активные бремена
greed_cave_尚未选择,Не выбрано
greed_cave_已选择代价,Бремя выбрано
greed_cave_落雷环境,Гроза
greed_cave_落雷环境说明,Молнии периодически ударяют по видимым зонам боя.
greed_cave_额外怪群,Дополнительные монстры
greed_cave_额外怪群说明,На последующих обычных уровнях появляется больше обычных монстров и элит.
greed_cave_秘境剧毒,Яд царства
greed_cave_秘境剧毒说明,В последующих боях игроки будут постоянно отравлены.
greed_cave_恢复衰减,Ослабление восстановления
greed_cave_恢复衰减说明,В последующих боях эффекты восстановления игроков снижены.
greed_cave_怪物异变,Мутация монстров
greed_cave_怪物异变说明,Последующие монстры могут появляться со случайными атакующими или защитными усилениями.
greed_cave_撤离提醒,Напоминание об отступлении
greed_cave_一半,Половина
greed_cave_撤离风险提示,Эвакуация сохраняет текущие мистические кристаллы. При смерти будет потеряно {loss} мистических кристаллов.
greed_cave_层数,Уровень
greed_cave_复活,Воскрешение
greed_cave_复活中,Воскрешение...
greed_cave_秘晶,Мистические кристаллы
greed_cave_通关结算,Расчёт за прохождение
greed_cave_失败结算,Расчёт за провал
greed_cave_撤离结算,Расчёт за эвакуацию
greed_cave_秘境商店,Магазин Небопада
greed_cave_领取奖励,Получить награду
greed_cave_本次秘晶,Мистические кристаллы за этот заход
greed_cave_次数确认,Подтверждение количества
greed_cave_奖励选择提示,Отказ от награды выводит из царства и не расходует дневную попытку Приглашения Небопада.
greed_cave_放弃奖励,Отказаться от награды
greed_cave_进入商店,Войти в магазин
greed_cave_关闭,Закрыть
greed_cave_离开,Покинуть
greed_cave_开启,Открыть
greed_cave_获得奖励,Полученные награды
greed_cave_已售,Продано
greed_cave_购买,Купить
greed_cave_材料箱子,Сундук с материалами
greed_cave_材料箱子说明,При открытии даёт случайный материал
greed_cave_普通装备箱子,Обычный сундук с экипировкой
greed_cave_普通装备箱子说明,"Открыв, получите случайное снаряжение"
greed_cave_传说装备箱子,Сундук с легендарным снаряжением
greed_cave_传说装备箱子说明,"Открыв, получите случайное снаряжение"
greed_cave_神话装备箱子,Сундук с мифическим снаряжением
greed_cave_神话装备箱子说明,"Открыв, получите случайное снаряжение"
greed_cave_符印箱说明,"Открыв, получите случайный символ"
greed_cave_商品已经售罄,Товар распродан
greed_cave_秘晶不足,Недостаточно мистических кристаллов
greed_cave_背包和仓库空间不足,Недостаточно места в инвентаре и хранилище
greed_cave_购买成功,Покупка успешна
greed_cave_暂时无法进入倾天秘境,Сейчас нельзя войти в Царство Небопада
greed_cave_当前只开放1至3阶秘境邀请函,Сейчас доступны только Приглашения Небопада 1-3 ранга
greed_cave_英雄状态异常无法进入倾天秘境,Состояние героя ненормальное. Невозможно войти в Царство Небопада.
greed_cave_只有在基地中才能使用秘境邀请函,Приглашение Небопада можно использовать только на базе
greed_cave_你已经参与过当前倾天秘境,Вы уже участвовали в текущем Царстве Небопада
greed_cave_请先完成当前倾天秘境商店结算,Сначала завершите расчет в магазине текущего Царства Небопада
greed_cave_当前倾天秘境正在清理请稍后再试,Текущее Царство Небопада очищается. Повторите попытку позже.
greed_cave_无尽撤离风险提示,Только при успешной эвакуации предметы из личного инвентаря будут сохранены; при провале всё будет потеряно. Общий склад и тайные кристаллы будут полностью очищены при расчёте.
greed_cave_行囊扩容,Расширение рюкзака
greed_cave_行囊扩容说明,В этом бесконечном испытании вместимость личного рюкзака увеличивается на 1 слот; после каждой покупки цена повышается.
greed_cave_秘晶共鸣,Резонанс тайных кристаллов
greed_cave_秘晶共鸣说明,Количество получаемых тайных кристаллов увеличивается на {value}%; после каждой покупки цена повышается.
greed_cave_先祖余烬,Пепел предков
greed_cave_先祖余烬说明,В этом бесконечном испытании количество возрождений +1; после каждой покупки цена повышается.
greed_cave_扩建货架,Расширение полок
greed_cave_扩建货架说明,Мгновенно добавляет 1 товар и навсегда увеличивает количество товаров у последующих торговцев на 1; после каждой покупки цена повышается.
greed_cave_无尽商品入库说明,"После покупки предмет сначала помещается в личный рюкзак; если рюкзак полон, он попадает в общее хранилище команды."
greed_cave_个人背包容量,Личный рюкзак ({count}/{capacity})
greed_cave_无尽结束后获得,После завершения бесконечного испытания вы получите:
greed_cave_公共仓库数量,Общее хранилище ({count})
greed_cave_可随时整理,Можно сортировать в любой момент в течение всего испытания.
greed_cave_挑战已结算,Испытание завершено
greed_cave_先祖行商,Торговец предков
greed_cave_第X层无尽商店,Уровень {floor} · Бесконечный магазин
greed_cave_X秒,{seconds} сек
greed_cave_后进入下一层,до перехода на следующий уровень
greed_cave_秘晶收益,Доход от тайных кристаллов
greed_cave_复活次数,Количество возрождений
