--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
make_panel_当前没有制作任务,Hiện không có nhiệm vụ chế tạo
make_panel_分类,Phân loại:
make_panel_全部,Tất cả
make_panel_材料,Nguyên liệu
make_panel_装备,Trang bị
make_panel_药品,Thuốc
make_panel_其他,Khác
make_panel_筛选,Lọc:
make_panel_全部等级,Tất cả cấp
make_panel_可制作配方,Công thức có thể chế tạo
make_panel_制作需求,Yêu cầu chế tạo
make_panel_队列已满,Hàng đợi đã đầy
make_panel_制作,Chế tạo
make_panel_重铸,Tái tạo
make_panel_制作台,Bàn chế tạo
make_panel_请先放入主装备,Vui lòng đặt trang bị chính trước
make_panel_主装备,Trang bị chính
make_panel_放入主装备,Đặt trang bị chính
make_panel_材料需求,Yêu cầu nguyên liệu
make_panel_使用重铸石,Sử dụng đá tái tạo
make_panel_放入同名副装备,Đặt trang bị phụ cùng tên
make_panel_如需使用重铸石请勾选上方开关,"Nếu muốn sử dụng đá tái tạo, hãy chọn công tắc ở trên"
make_panel_放入副装备,Đặt trang bị phụ
make_panel_全部取回,Lấy lại tất cả
make_panel_预览,Xem trước
make_panel_重铸后显示变化,Hiển thị thay đổi sau tái tạo
make_panel_保留,Giữ lại
make_panel_还原,Khôi phục
make_panel_未放入主装备,Chưa đặt trang bị chính
make_panel_制作队列状态,Trạng thái hàng đợi chế tạo {count}/{max}: {time}
make_panel_已完成数量,Đã hoàn thành: {completed}/{count}
make_panel_筛选结果数量,Kết quả lọc {count}
make_panel_物品等级X,Cấp vật phẩm Lv.{level}
make_panel_时间X,Thời gian: {time}
make_panel_队列剩余X,Còn lại trong hàng đợi {time}
make_panel_需求时间X,Thời gian yêu cầu: {time}
make_panel_制作数量,Chế tạo ({count})
make_panel_等级品质,Cấp {level}  Phẩm chất {quality}
make_panel_当前词条种子,Hiện {seed}
make_panel_原词条种子,Gốc {seed}
make_panel_重铸说明,"Sau khi tái chế trang bị, các thuộc tính cơ bản không [cố định] sẽ được thay đổi ngẫu nhiên, sau khi tái chế có thể chọn giữ lại thuộc tính mới hay không, mỗi lần tái chế dù có giữ lại hay không đều sẽ tăng cấp tái chế. Cấp tái chế càng cao, xác suất nhận được thuộc tính tốt hơn càng lớn, khi cấp tái chế đạt đến 9, trang bị sẽ không thể tái chế thêm nữa."
make_panel_待升华装备,Trang bị chờ Thăng Hoa
make_panel_装备种子X,Seed trang bị: {seed}
make_panel_放入可升华装备,Bỏ trang bị có thể Thăng Hoa vào
make_panel_绑定命石,Liên kết Đá Mệnh
make_panel_命石种子X,Seed Đá Mệnh: {seed}
make_panel_放入与装备绑定的命石,Bỏ vào Đá Mệnh liên kết với trang bị
make_panel_升华材料,Nguyên liệu Thăng Hoa
make_panel_放入装备后显示升华材料,Sau khi đặt trang bị sẽ hiển thị nguyên liệu Thăng Hoa
make_panel_当前重铸等级无需补充精华,Cấp tái chế hiện tại không cần bổ sung tinh chất
make_panel_升华结果,Kết quả Thăng Hoa
make_panel_升华结果说明,"Sau khi Thăng Hoa, trang bị sẽ trở thành Trang bị Tổ Tiên và nhận chỉ số ngẫu nhiên từ Đá Mệnh."
make_panel_命石与装备不匹配,Đá Mệnh không phù hợp với trang bị
make_panel_放入装备和命石预览,Đặt trang bị và Đá Mệnh để xem trước
make_panel_升华属性变化,Thay đổi chỉ số khi Thăng Hoa
make_panel_无可预览属性变化,Không có chỉ số nào để xem trước
make_panel_无装备效果,Không có hiệu ứng trang bị
make_panel_升华,Thăng Hoa
make_panel_固定属性说明,Chỉ số cố định sẽ không thay đổi khi Tái Rèn.
make_panel_强化属性说明,Chỉ số cường hóa đã được tăng lên thông qua Tái Rèn.
make_panel_强化,Cường Hóa
make_panel_神,Thần
make_panel_无可重铸属性,Không có chỉ số để Tái Rèn
make_panel_基础技能属性,Chỉ số cơ bản / kỹ năng
make_panel_神铸,Rèn Thần
make_panel_无固定属性,Không có chỉ số cố định
make_panel_固定,Cố định
make_panel_该装备已达到重铸上限,Trang bị này đã đạt giới hạn Tái Rèn
make_panel_可使用重铸石替代,Có thể dùng Đá Tái Rèn thay thế
make_panel_重铸等级X,Cấp Tái Rèn {current}/{max}
make_panel_重铸等级,Cấp Tái Rèn
make_panel_可重铸属性,Chỉ số Tái Rèn
make_panel_固定属性,Chỉ số cố định
make_panel_reforge_feedback_bad_1,"Ối, đập lệch rồi!"
make_panel_reforge_feedback_bad_2,Độ lửa không ổn
make_panel_reforge_feedback_bad_3,Đường búa bị lệch rồi!
make_panel_reforge_feedback_bad_4,Nhiệt độ lò bị loạn rồi!
make_panel_reforge_feedback_bad_5,Sắt nóng chảy đục ngầu
make_panel_reforge_feedback_bad_6,Cú búa này hụt rồi
make_panel_reforge_feedback_bad_7,Tia lửa đen sạm
make_panel_reforge_feedback_bad_8,"Đừng vội, thử lại!"
make_panel_reforge_feedback_good_1,Tôi luyện thượng hạng
make_panel_reforge_feedback_good_2,Lửa vừa chuẩn
make_panel_reforge_feedback_good_3,Hạ búa vững vàng
make_panel_reforge_feedback_good_4,Bề mặt rèn phẳng
make_panel_reforge_feedback_good_5,Thớ sắt vào nếp
make_panel_reforge_feedback_good_6,Cú búa này chắc chắn
make_panel_reforge_feedback_good_7,Lửa lò rất thuận
make_panel_reforge_feedback_good_8,Màu sắc đẹp đấy
