--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
item_context_menu_当前状态下无法上架该物品,Không thể đăng bán vật phẩm này trong trạng thái hiện tại
item_context_menu_仅数量大于1的物品可以拆分,Chỉ vật phẩm có số lượng lớn hơn 1 mới có thể tách ra
item_context_menu_卸下,Tháo xuống
item_context_menu_移除,Loại bỏ
item_context_menu_装备,Trang bị
item_context_menu_上架,Đăng bán
item_context_menu_拆分,Tách ra
item_context_menu_分解,Phân hủy
item_context_menu_取消锁定,Hủy khóa
item_context_menu_锁定格子,Khóa ô
item_context_menu_查看图鉴,Xem bộ sưu tập
item_context_menu_数量X,Số lượng {count}
item_context_menu_购买X个,Mua {count} cái
item_context_menu_连续使用X个,Sử dụng liên tiếp {count} cái
item_context_menu_连续使用最大数量,Số lần sử dụng liên tiếp tối đa
item_context_menu_确认分解,Xác nhận phân rã
item_context_menu_分解获得含重铸返还,Lần phân rã này có thể nhận được (trả lại một phần vật liệu tái rèn)
item_context_menu_本次分解可获得,Lần phân rã này có thể nhận được
item_context_menu_取消,Hủy
item_context_menu_本局不再提醒,Không nhắc lại trong trận này
item_context_menu_确认丢弃,Xác nhận vứt bỏ
item_context_menu_贵重物品丢弃确认,"Vật phẩm này khá quý giá, bạn chắc chắn muốn vứt xuống đất?"
item_context_menu_丢弃,Vứt bỏ
item_context_menu_本局不再提示,Không nhắc lại trong trận này