--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
shop_已售,Đã bán
shop_即将刷新,Sắp làm mới
shop_请先选择商品,Vui lòng chọn sản phẩm trước
shop_该商品已售出,Sản phẩm này đã được bán
shop_黑心商贩,Người bán hắc tâm
shop_购买,Mua
shop_刷新商店,Làm mới cửa hàng
shop_快捷出售背包中未锁定的物品,Bán nhanh vật phẩm không khóa trong ba lô
shop_快捷出售,Bán nhanh
shop_确认刷新商店,Xác nhận làm mới cửa hàng
shop_确认刷新,Xác nhận làm mới
shop_取消,Hủy
shop_每X分钟刷新库存,Làm mới tồn kho mỗi {minutes} phút
shop_下次刷新X每Y分钟,Làm mới lần sau {time} / mỗi {minutes} phút
shop_商店等级X,Cấp cửa hàng {level}
shop_今日剩余刷新X次,Hôm nay còn {count} lần làm mới
shop_商品价格提示,{name}\nGiá: {price}
shop_需要X级商店,Cần cửa hàng cấp {level}