--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
buy_item_modal_购买物品,Buy Item,购买物品
buy_item_modal_总计,Total:,总计：
buy_item_modal_购买失败请稍后重试,Purchase failed. Please try again later.,购买失败，请稍后重试
buy_item_modal_限购X次,Limit: {limit},限购 {limit} 次
buy_item_modal_可购买礼包,Available Bundle,可购买礼包
buy_item_modal_购买次数X,Purchases: {purchased}/{limit},购买次数 {purchased}/{limit}
buy_item_modal_正在确认交易状态,Network delay. Confirming transaction...,网络波动，正在确认交易状态……
buy_item_modal_购买处理中,Processing purchase...,购买处理中……
buy_item_modal_资产归属提醒,Asset Ownership Notice,资产归属提醒
buy_item_modal_点券账户资产商品赛季资产提醒,"Points are account assets. Purchased products are season assets and cannot be carried into a new season.",点券资产属于账户资产，购买商品属于赛季资产，商品内容无法带到新的赛季。
buy_item_modal_账户资产跨赛季共享说明,"All account assets are shared across every season, including: Eternal Point Pool cap / unspent Recovery Points / remaining Points.","所有账户资产由全部赛季共享，包括：“永恒点券池上限 / 未花费的恢复点券 / 剩余点券”。"
buy_item_modal_我已知晓,I Understand,我已知晓
buy_item_modal_我已知晓倒计时,I Understand ({seconds}s),我已知晓（{seconds}秒）
