--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
greed_cave_倾天秘境,Bí Cảnh Khuynh Thiên
greed_cave_第X层已清理,Tầng {floor} đã dọn sạch
greed_cave_X阶倾天秘境,Bí Cảnh Khuynh Thiên cấp {tier}
greed_cave_撤离或继续,Rút lui hoặc tiếp tục
greed_cave_剩余时间,Thời gian còn lại
greed_cave_生效倒计时,Đếm ngược hiệu lực
greed_cave_秒,giây
greed_cave_继续票数,Số phiếu tiếp tục
greed_cave_撤离,Rút lui
greed_cave_继续,Tiếp tục
greed_cave_已选择撤离,Đã chọn rút lui
greed_cave_已选择继续,Đã chọn tiếp tục
greed_cave_选择下一层代价,Chọn cái giá tầng tiếp theo
greed_cave_代价提示,Chọn một cái giá. Nó sẽ ảnh hưởng các tầng sau trong lượt Bí Cảnh Khuynh Thiên này.
greed_cave_当前代价,Cái giá hiện tại
greed_cave_尚未选择,Chưa chọn
greed_cave_已选择代价,Đã chọn cái giá
greed_cave_落雷环境,Môi trường sấm sét
greed_cave_落雷环境说明,Sét định kỳ đánh xuống các khu vực chiến đấu nhìn thấy được.
greed_cave_额外怪群,Nhóm quái thêm
greed_cave_额外怪群说明,Các tầng thường sau sẽ sinh thêm quái thường và tinh anh.
greed_cave_秘境剧毒,Độc bí cảnh
greed_cave_秘境剧毒说明,"Trong các trận sau, người chơi sẽ liên tục bị trúng độc."
greed_cave_恢复衰减,Suy giảm hồi phục
greed_cave_恢复衰减说明,"Trong các trận sau, hiệu quả hồi phục của người chơi bị giảm."
greed_cave_怪物异变,Dị biến quái vật
greed_cave_怪物异变说明,Quái ở các tầng sau có thể xuất hiện với buff tấn công hoặc phòng thủ ngẫu nhiên.
greed_cave_撤离提醒,Nhắc nhở rút lui
greed_cave_一半,Một nửa
greed_cave_撤离风险提示,Rút lui sẽ giữ lại bí tinh hiện tại. Chết khi rời đi sẽ rơi {loss} bí tinh.
greed_cave_层数,Số tầng
greed_cave_复活,Hồi sinh
greed_cave_复活中,Đang hồi sinh
greed_cave_秘晶,Bí tinh
greed_cave_通关结算,Kết toán thông quan
greed_cave_失败结算,Kết toán thất bại
greed_cave_撤离结算,Kết toán sơ tán
greed_cave_秘境商店,Cửa hàng Khuynh Thiên
greed_cave_领取奖励,Nhận thưởng
greed_cave_本次秘晶,Bí tinh lần này
greed_cave_次数确认,Xác nhận số lần
greed_cave_奖励选择提示,Từ bỏ phần thưởng sẽ rời khỏi bí cảnh và không tiêu hao lượt hằng ngày của Thư mời Khuynh Thiên.
greed_cave_放弃奖励,Từ bỏ phần thưởng
greed_cave_进入商店,Vào cửa hàng
greed_cave_关闭,Đóng
greed_cave_离开,Rời khỏi
greed_cave_开启,Mở
greed_cave_获得奖励,Phần thưởng nhận được
greed_cave_已售,Đã bán
greed_cave_购买,Mua
greed_cave_材料箱子,Rương nguyên liệu
greed_cave_材料箱子说明,Mở ra nhận nguyên liệu ngẫu nhiên
greed_cave_普通装备箱子,Rương trang bị thường
greed_cave_普通装备箱子说明,Mở ra nhận được trang bị ngẫu nhiên
greed_cave_传说装备箱子,Hộp trang bị huyền thoại
greed_cave_传说装备箱子说明,Mở ra nhận được trang bị ngẫu nhiên
greed_cave_神话装备箱子,Hộp trang bị thần thoại
greed_cave_神话装备箱子说明,Mở ra nhận được trang bị ngẫu nhiên
greed_cave_符印箱说明,Mở ra nhận được ấn ký ngẫu nhiên
greed_cave_商品已经售罄,Sản phẩm đã bán hết
greed_cave_秘晶不足,Không đủ bí tinh
greed_cave_背包和仓库空间不足,Không đủ chỗ trong ba lô và kho
greed_cave_购买成功,Mua thành công
greed_cave_暂时无法进入倾天秘境,Tạm thời không thể vào Bí Cảnh Khuynh Thiên
greed_cave_当前只开放1至3阶秘境邀请函,Hiện chỉ mở Thư mời Khuynh Thiên cấp 1-3
greed_cave_英雄状态异常无法进入倾天秘境,"Trạng thái anh hùng bất thường, không thể vào Bí Cảnh Khuynh Thiên"
greed_cave_只有在基地中才能使用秘境邀请函,Chỉ có thể sử dụng Thư mời Khuynh Thiên khi ở căn cứ
greed_cave_你已经参与过当前倾天秘境,Bạn đã tham gia Bí Cảnh Khuynh Thiên hiện tại
greed_cave_请先完成当前倾天秘境商店结算,Vui lòng hoàn tất thanh toán cửa hàng Bí Cảnh Khuynh Thiên hiện tại
greed_cave_当前倾天秘境正在清理请稍后再试,"Bí Cảnh Khuynh Thiên hiện tại đang được dọn dẹp, vui lòng thử lại sau"
greed_cave_无尽撤离风险提示,"Chỉ khi rút lui thành công mới giữ được vật phẩm trong túi cá nhân; thất bại sẽ mất toàn bộ, kho chung và tinh thể bí mật đều bị xóa sạch khi kết toán."
greed_cave_行囊扩容,Mở rộng túi đồ
greed_cave_行囊扩容说明,"Trong thử thách vô tận lần này, dung lượng túi đồ cá nhân tăng thêm 1 ô; giá tăng sau mỗi lần mua."
greed_cave_秘晶共鸣,Cộng hưởng Bí Tinh
greed_cave_秘晶共鸣说明,Bí Tinh nhận được tiếp theo tăng {value}%; giá tăng sau mỗi lần mua.
greed_cave_先祖余烬,Tàn tro Tổ Tiên
greed_cave_先祖余烬说明,Số lần hồi sinh của thử thách vô tận này +1; giá tăng sau mỗi lần mua.
greed_cave_扩建货架,Mở rộng kệ hàng
