--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
ancient_shop_即将刷新,Скоро обновление
ancient_shop_请先选择商品,Сначала выберите товар
ancient_shop_该商品已售出,Этот товар продан
ancient_shop_远古商贩,Древний торговец
ancient_shop_购买,Купить
ancient_shop_刷新商店,Обновить магазин
ancient_shop_快捷出售背包中未锁定的物品,Быстрая продажа разблокированных предметов в рюкзаке
ancient_shop_快捷出售,Быстрая продажа
ancient_shop_确认刷新商店,Подтвердить обновление магазина
ancient_shop_确认刷新,Подтвердить обновление
ancient_shop_取消,Отмена
ancient_shop_已售,Продано
ancient_shop_每X分钟刷新库存,Обновление запасов каждые {minutes} мин.
ancient_shop_下次刷新X每Y分钟,Следующее обновление {time} / каждые {minutes} мин.
ancient_shop_今日剩余刷新X次,Осталось обновлений сегодня: {count}
ancient_shop_商品价格提示,{name}\nЦена: {price}