--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
settlement_撤离成功,Sơ tán thành công
settlement_死亡确认,Xác nhận tử vong
settlement_战利品已完成封存,Chiến lợi phẩm đã được niêm phong.
settlement_已根据战场规则结算损失物资,Vật tư tổn thất đã được thanh toán theo quy tắc chiến trường.
settlement_带出物资总价值,Tổng giá trị vật tư mang ra
settlement_损失物资总价值,Tổng giá trị vật tư tổn thất
settlement_返回基地,Quay về căn cứ
settlement_接受结算,Chấp nhận thanh toán
settlement_生存时长,Thời gian sinh tồn
settlement_获得经验值,Kinh nghiệm nhận được
settlement_遗失物资清单,Danh sách vật tư thất lạc
settlement_X金币,{value} Vàng
settlement_X项损失,{count} tổn thất
settlement_撤离失败,Sơ tán thất bại
settlement_无尽失败物资已遗失,Vật tư trong túi đồ cá nhân đã bị mất.
settlement_M001死亡后可通过撤离点安全离开,"Tìm điểm sơ tán trên bản đồ, chờ thanh tiến trình hoàn tất, có thể mang vật tư ra ngoài an toàn."
settlement_M001撤离提醒,Nhắc nhở sơ tán
settlement_M001状态不佳时应及时撤离,"Khi đã thu hoạch đủ hoặc trạng thái không tốt, đừng ham chiến, hãy nhanh chóng đến điểm sơ tán."
settlement_带入价值,Giá trị mang vào
settlement_带出价值,Giá trị mang ra
settlement_收益,Lợi nhuận
settlement_确认,Xác nhận
settlement_地图,Bản đồ
settlement_层数,Số tầng
settlement_第X层,Tầng {floor}
settlement_难度,Độ khó
settlement_稳定度,Độ ổn định
settlement_简单,Dễ
settlement_普通,Thường
settlement_困难,Khó
settlement_无尽,Vô tận
settlement_无尽倾天秘境,Bí cảnh Vô Tận Khuynh Thiên
settlement_获得狩猎分,Tổng điểm săn bắn tích lũy
settlement_带出物资清单,Danh sách vật tư mang ra
settlement_无结算物品,Không có vật phẩm
settlement_X项带出,{count} mục mang ra