--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
DOTA_Tooltip_modifier_axe_002_passive,Đòn nặng
DOTA_Tooltip_modifier_axe_002_passive_Description,Sát thương tăng thêm 5%% máu tối đa của bản thân.
DOTA_Tooltip_modifier_axe_005_self_buff,Cộng giáp
DOTA_Tooltip_modifier_axe_005_self_buff_Description,Tăng giáp
DOTA_Tooltip_modifier_axe_006_berserk,Cuồng nộ
DOTA_Tooltip_modifier_axe_006_berserk_Description,"Miễn nhiễm hầu hết hiệu ứng tiêu cực và tăng đáng kể kháng tiêu cực; tăng máu tối đa và tỷ lệ chí mạng, nhưng tăng sát thương nhận vào."
DOTA_Tooltip_modifier_axe_007_berserkers_blood,Máu của Berserker
DOTA_Tooltip_modifier_axe_007_berserkers_blood_Description,"Máu càng thấp, tốc độ đánh và hồi máu càng cao."
DOTA_Tooltip_modifier_axe_008_blood_oath,Lời thề máu
DOTA_Tooltip_modifier_axe_008_blood_oath_Description,"Tăng tốc độ đánh; mỗi đòn tấn công tiêu hao máu hiện tại và gây thêm sát thương vật lý, máu tối thiểu duy trì 1 điểm trong thời gian này."
DOTA_Tooltip_modifier_axe_009_red_mist_supply,Tiếp tế Sương đỏ
DOTA_Tooltip_modifier_axe_009_red_mist_supply_Description,"Mỗi tầng tăng hồi máu một phần trăm nhất định máu tối đa, nhiều tầng có thể cộng dồn và mỗi tầng có thời gian riêng."
DOTA_Tooltip_modifier_axe_010_glory_guard,Bảo vệ vinh quang
DOTA_Tooltip_modifier_axe_010_glory_guard_Description,Mỗi điểm giáp tăng 10 máu tối đa cho bản thân.
DOTA_Tooltip_modifier_drow_004_extra_arrow,Mũi tên đóng băng
DOTA_Tooltip_modifier_drow_004_extra_arrow_Description,Đòn tấn công bắn mũi tên đóng băng
DOTA_Tooltip_modifier_lina_001_dragon_soul,Linh hồn rồng
DOTA_Tooltip_modifier_lina_001_dragon_soul_Description,"Mỗi lớp tăng sát thương của Dragon Slash, giải phóng lại làm mới thời gian duy trì."
DOTA_Tooltip_modifier_lina_003_fiery_soul_effect,Chậm nhiệt
DOTA_Tooltip_modifier_lina_003_fiery_soul_effect_Description,"Số lớp sẽ giảm dần theo thời gian, mỗi lớp tăng sát thương gây ra của bản thân."
DOTA_Tooltip_modifier_lina_011_fire_curse,Dấu ấn lời nguyền lửa
DOTA_Tooltip_modifier_lina_011_fire_curse_Description,"Mỗi lớp tăng sát thương kỹ năng mà mục tiêu phải chịu, và mỗi giây mất 1 lớp."
DOTA_Tooltip_modifier_lina_012_reheat_ring,Vòng hồi hỏa
DOTA_Tooltip_modifier_lina_012_reheat_ring_Description,"Nhận giới hạn khiên tạm thời, và chuyển đổi sát thương khiên hấp thụ thành giá trị hồi hỏa."
DOTA_Tooltip_modifier_lina_013_light_strike_stack,Dư uy Quang Kích Trận
DOTA_Tooltip_modifier_lina_013_light_strike_stack_Description,Mỗi lớp tăng tốc độ di chuyển.
DOTA_Tooltip_modifier_lina_013_light_strike_overload,Trạng thái thần cách
DOTA_Tooltip_modifier_lina_013_light_strike_overload_Description,"Tăng sát thương, giảm sát thương nhận vào, và tăng tốc độ tấn công và tốc độ di chuyển."
