--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
shop_已售,Продано
shop_即将刷新,Скоро обновится
shop_请先选择商品,Сначала выберите товар
shop_该商品已售出,Этот товар уже продан
shop_黑心商贩,Злой торговец
shop_购买,Купить
shop_刷新商店,Обновить магазин
shop_快捷出售背包中未锁定的物品,"Быстрая продажа предметов из рюкзака, которые не заблокированы"
shop_快捷出售,Быстрая продажа
shop_确认刷新商店,Подтвердить обновление магазина
shop_确认刷新,Подтвердить обновление
shop_取消,Отмена
shop_每X分钟刷新库存,Обновление инвентаря каждые {minutes} мин.
shop_下次刷新X每Y分钟,Следующее обновление {time} / каждые {minutes} мин.
shop_商店等级X,Уровень магазина {level}
shop_今日剩余刷新X次,Осталось обновлений сегодня: {count}
shop_商品价格提示,{name}\nЦена: {price}
shop_需要X级商店,Требуется магазин {level} уровня