--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
end_screen_游戏版本过低,Phiên bản trò chơi quá thấp
end_screen_系统正在维护,Hệ thống đang bảo trì
end_screen_本局已结束,Ván này đã kết thúc
end_screen_当前游戏版本过低请更新后重新进入,"Phiên bản trò chơi hiện tại quá thấp, vui lòng cập nhật rồi vào lại."
end_screen_服务器维护已开始请稍后再试,"Bảo trì máy chủ đã bắt đầu, vui lòng thử lại sau."
end_screen_本局已结束请返回主界面,"Ván này đã kết thúc, vui lòng quay lại màn hình chính."
end_screen_版本限制,Giới hạn phiên bản
end_screen_维护关停,Bảo trì tạm ngưng
end_screen_对局结束,Kết thúc trò chơi
end_screen_当前版本,Phiên bản hiện tại
end_screen_最低版本,Phiên bản tối thiểu
end_screen_维护结束后不会继续写入本局存档,"Để bảo vệ dữ liệu lưu, sau khi ván này kết thúc sẽ không tiếp tục ghi dữ liệu cho ván này."
end_screen_退出游戏,Thoát trò chơi
end_screen_请返回主界面后根据提示重新进入游戏,Vui lòng quay lại màn hình chính và làm theo hướng dẫn để vào lại trò chơi.