--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
buy_item_modal_购买物品,Купить предмет
buy_item_modal_总计,Итого:
buy_item_modal_购买失败请稍后重试,"Покупка не удалась, попробуйте позже"
buy_item_modal_限购X次,Лимит: {limit} раз
buy_item_modal_可购买礼包,Доступные наборы
buy_item_modal_购买次数X,Куплено: {purchased}/{limit}
buy_item_modal_正在确认交易状态,"Нестабильное соединение, проверяем статус транзакции..."
buy_item_modal_购买处理中,Обработка покупки...
buy_item_modal_资产归属提醒,Уведомление о принадлежности активов
buy_item_modal_点券账户资产商品赛季资产提醒,"Очки являются активом аккаунта. Купленные товары являются сезонными активами и не переносятся в новый сезон."
buy_item_modal_账户资产跨赛季共享说明,"Все активы аккаунта общие для всех сезонов, включая лимит вечного пула очков, неизрасходованные восстанавливаемые очки и оставшиеся очки."
buy_item_modal_我已知晓,Я понимаю
buy_item_modal_我已知晓倒计时,Я понимаю ({seconds} с)
