--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
settlement_撤离成功,Успешная эвакуация
settlement_死亡确认,Подтверждение смерти
settlement_战利品已完成封存,Трофеи запечатаны.
settlement_已根据战场规则结算损失物资,Потери рассчитаны по правилам поля боя.
settlement_带出物资总价值,Общая стоимость вынесенного имущества
settlement_损失物资总价值,Общая стоимость потерянного имущества
settlement_返回基地,Вернуться на базу
settlement_接受结算,Принять расчёт
settlement_生存时长,Время выживания
settlement_获得经验值,Получено опыта
settlement_遗失物资清单,Список утерянных припасов
settlement_X金币,{value} золота
settlement_X项损失,{count} потерь
settlement_撤离失败,Эвакуация не удалась
settlement_无尽失败物资已遗失,Предметы из личного рюкзака утеряны.
settlement_M001死亡后可通过撤离点安全离开,"Найдите точку эвакуации на карте и дождитесь завершения зарядки, чтобы безопасно вынести снаряжение."
settlement_M001撤离提醒,Напоминание об эвакуации
settlement_M001状态不佳时应及时撤离,"Получив достаточно добычи или при плохом состоянии, не затягивайте бой и сразу идите к точке эвакуации."
settlement_带入价值,Внесённая ценность
settlement_带出价值,Вынесенная ценность
settlement_收益,Прибыль
settlement_确认,Подтвердить
settlement_地图,Карта
settlement_层数,Этаж
settlement_第X层,Этаж {floor}
settlement_难度,Сложность
settlement_稳定度,Стабильность
settlement_简单,Легко
settlement_普通,Нормально
settlement_困难,Сложно
settlement_无尽,Бесконечность
settlement_无尽倾天秘境,Бесконечный Тайный Мир Падшего Неба
settlement_获得狩猎分,Всего получено охотничьих очков
settlement_带出物资清单,Список вынесенных материалов
settlement_无结算物品,Нет предметов
settlement_X项带出,Вынесено предметов: {count}