--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
room_selection_未解锁,Не открыто
room_selection_未开放,Не доступно
room_selection_进图材料,Материалы для входа
room_selection_请选择目的地,Выберите пункт назначения
room_selection_传送,Телепорт
room_selection_自动填充,Автозаполнение
room_selection_重置材料,Сбросить материалы
room_selection_难度X,Сложность {level}
room_selection_地图传送,Карта телепорта
room_selection_消耗金币X,Потратить золото {gold}
room_selection_掉落数量提升X,Количество выпадений +{percent}%
room_selection_选择目的地,Выбрать пункт назначения
room_selection_稳定度说明,Эта карта еще не полностью стабильна. Ранний вход снижает стабильность и повышает угрозу монстров. Со временем карта станет стабильнее и угроза монстров вернется к норме.
room_selection_Boss排名未解锁,Рейтинг первого убийства разблокируется после убийства босса.
room_selection_Boss自身顺位,Моя позиция в прохождении: {rank}-е место.
room_selection_Boss排名加载中,Загрузка рейтинга первого убийства...
room_selection_Boss排名加载失败,Не удалось загрузить рейтинг. Попробуйте позже.
room_selection_Boss排名暂无记录,Нет записей о первом убийстве.
room_selection_Boss首杀排名,Рейтинг первого убийства
room_selection_Boss我的排名,Мой рейтинг
room_selection_我,Я
room_selection_简单,Лёгкий
room_selection_普通,Нормальный
room_selection_困难,Сложный
room_selection_稳定度X,Стабильность {pct}
room_selection_正在创建地图,Создание карты...
room_selection_简单模式,Лёгкий режим
room_selection_困难模式,Сложный режим
room_selection_普通模式,Нормальный режим
room_selection_怪物威胁降低,Угроза монстров снижена.
room_selection_怪物威胁提升,Угроза монстров повышена.
room_selection_掉落数量变化X,Количество дропа: {percent}%
room_selection_标准难度与掉落,Стандартная сложность и дроп.
room_selection_已开启为X难度,Установлена сложность: {mode}
room_selection_怪物威胁显著提高,Угроза монстров значительно повышена.
room_selection_选择传送方式,Выберите способ телепортации.
room_selection_地图加载失败请重试,Не удалось загрузить карту. Попробуйте снова.
room_selection_勇敢是冒险者的墓志铭,«Храбрость» — эпитафия авантюриста.
room_selection_房间不稳定,Нестабильная комната
room_selection_房间X稳定度Y,{room}: стабильность {pct}%
room_selection_确认进入不稳定房间,Подтвердить вход в нестабильную комнату
room_selection_当前稳定度X,Текущая стабильность: {pct}%
room_selection_房间环境异常说明,"Окружение комнаты нестабильно, угроза монстров значительно возрастёт."
room_selection_确认进入,Подтвердить вход
room_selection_取消,Отмена