--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
make_panel_当前没有制作任务,No crafting tasks right now,当前没有制作任务
make_panel_分类,Category:,分类:
make_panel_全部,All,全部
make_panel_材料,Material,材料
make_panel_装备,Equip,装备
make_panel_药品,Medicine,药品
make_panel_其他,Other,其他
make_panel_筛选,Filter:,筛选:
make_panel_全部等级,All Levels,全部等级
make_panel_可制作配方,Craftable recipes,可制作配方
make_panel_制作需求,Crafting Requirements,制作需求
make_panel_队列已满,Queue is full,队列已满
make_panel_制作,Craft,制作
make_panel_重铸,Reforge,重铸
make_panel_制作台,Crafting Bench,制作台
make_panel_请先放入主装备,Place the main equipment first.,请先放入主装备
make_panel_主装备,Main Equipment,主装备
make_panel_放入主装备,Place main equipment,放入主装备
make_panel_材料需求,Material Requirements,材料需求
make_panel_使用重铸石,Use Reforging Stone,使用重铸石
make_panel_放入同名副装备,Place matching secondary equipment,放入同名副装备
make_panel_如需使用重铸石请勾选上方开关,Tick the switch above to use a reforging stone.,如需使用重铸石请勾选上方开关
make_panel_放入副装备,Place secondary equipment,放入副装备
make_panel_全部取回,Retrieve All,全部取回
make_panel_预览,Preview,重铸预览
make_panel_重铸后显示变化,Show changes after reforging,重铸后显示变化
make_panel_保留,Keep,保留
make_panel_还原,Restore,还原
make_panel_未放入主装备,No main equipment placed,未放入主装备
make_panel_制作队列状态,Craft Queue {count}/{max}: {time},制作队列 {count}/{max}: {time}
make_panel_已完成数量,Completed:{completed}/{count},已完成:{completed}/{count}
make_panel_筛选结果数量,Results {count},筛选结果 {count}
make_panel_物品等级X,Item Level Lv.{level},物品等级 Lv.{level}
make_panel_时间X,Time: {time},时间: {time}
make_panel_队列剩余X,Queue Remaining {time},队列剩余 {time}
make_panel_需求时间X,Required Time: {time},需求时间: {time}
make_panel_制作数量,Craft ({count}),制作 ({count})
make_panel_等级品质,Level {level}  Quality {quality},等级 {level}  品质 {quality}
make_panel_当前词条种子,Current {seed},现 {seed}
