--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
item_context_menu_当前状态下无法上架该物品,В текущем состоянии нельзя выставить этот предмет на продажу
item_context_menu_仅数量大于1的物品可以拆分,Только предметы с количеством больше 1 можно разделить
item_context_menu_卸下,Снять
item_context_menu_移除,Удалить
item_context_menu_装备,Экипировать
item_context_menu_上架,Выставить на продажу
item_context_menu_拆分,Разделить
item_context_menu_分解,Разобрать
item_context_menu_取消锁定,Снять блокировку
item_context_menu_锁定格子,Заблокировать ячейку
item_context_menu_查看图鉴,Просмотреть справочник
item_context_menu_数量X,Количество {count}
item_context_menu_购买X个,Купить {count} шт.
item_context_menu_连续使用X个,Использовать {count} подряд
item_context_menu_连续使用最大数量,Максимальное количество использований подряд
item_context_menu_确认分解,Подтвердить разбор
item_context_menu_分解获得含重铸返还,За разбор можно получить (возврат части материалов перековки)
item_context_menu_本次分解可获得,За разбор можно получить
item_context_menu_取消,Отмена
item_context_menu_本局不再提醒,Не напоминать в этом матче
item_context_menu_确认丢弃,Подтвердить выбрасывание
item_context_menu_贵重物品丢弃确认,Это ценный предмет. Точно выбросить его на землю?
item_context_menu_丢弃,Выбросить
item_context_menu_本局不再提示,Не показывать в этом матче