--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
rankings_纳税排行,Bảng xếp hạng nộp thuế
rankings_交易所税额,Thuế giao dịch sàn
rankings_暂无刷新,Chưa có làm mới
rankings_冠军,Quán quân
rankings_亚军,Á quân
rankings_季军,Hạng ba
rankings_上期冠军,Kỳ trước No.1
rankings_上期亚军,Kỳ trước No.2
rankings_上期季军,Kỳ trước No.3
rankings_玩家标识,ID người chơi
rankings_累计税额,Tổng thuế đã nộp
rankings_点击刷新获取最新榜单,Nhấn làm mới để lấy bảng xếp hạng mới nhất
rankings_正在向服务器请求排行榜,Đang yêu cầu bảng xếp hạng từ máy chủ...
rankings_已刷新前缀,Đã làm mới 
rankings_已刷新后缀, hạng
rankings_排行榜请求失败,Yêu cầu bảng xếp hạng thất bại
rankings_排行榜,Bảng xếp hạng
rankings_纳税排行榜,Bảng xếp hạng nộp thuế
rankings_标题说明,"Ghi lại tổng số thuế mà người chơi đã nộp trong sàn giao dịch, bao gồm phí đăng bán và thuế từ việc tiêu hao thư tịch hội khi đăng bán vật phẩm quý."
rankings_我的累计纳税,Tổng thuế đã nộp của tôi
rankings_我的,Của tôi
rankings_刷新榜单,Làm mới bảng xếp hạng
rankings_榜单列表,Danh sách bảng xếp hạng
rankings_榜单状态,Trạng thái bảng xếp hạng
rankings_最近刷新,Làm mới gần đây 
rankings_税额,Thuế
rankings_暂无排行数据,Chưa có dữ liệu xếp hạng
rankings_暂无排行数据说明,"Sau khi giao dịch thuế đầu tiên được tạo, top 3 người chơi sẽ được hiển thị ở đây."
rankings_名次,Thứ hạng
rankings_玩家,Người chơi
rankings_当前没有可展示的纳税榜单,Hiện không có bảng xếp hạng thuế để hiển thị
rankings_空榜说明,Bạn có thể nhấp vào nút làm mới ở góc trên bên phải hoặc đợi người chơi tạo giao dịch thuế trên sàn giao dịch rồi xem lại.
rankings_狩猎排行,Bảng xếp hạng săn bắn
rankings_狩猎积分,Điểm săn bắn
rankings_金币排行,Bảng xếp hạng vàng
rankings_持有金币,Vàng đang nắm giữ
rankings_仓库价值排行,Bảng xếp hạng giá trị kho
rankings_仓库价值,Giá trị kho
rankings_每周榜,Bảng tuần
rankings_每周六12点重置,Đặt lại lúc 12:00 thứ Bảy hàng tuần
rankings_每周六12点中国时间,12:00 thứ Bảy hàng tuần (giờ Trung Quốc)
rankings_每周日22点中国时间,22:00 Chủ Nhật hàng tuần (giờ Trung Quốc)
rankings_定榜时间,Thời gian chốt bảng xếp hạng
rankings_奖励将在定榜后稍晚发放,Phần thưởng sẽ được trao ngay sau khi chốt bảng xếp hạng
rankings_中国时间括号,(giờ Trung Quốc)
rankings_无,Không
rankings_我,Tôi
rankings_我的排名,Xếp hạng của tôi
rankings_徽章,Huy hiệu
rankings_纳税,Nộp thuế
rankings_狩猎,Săn bắn
rankings_展示标签,Nhãn hiển thị
rankings_已展示,Đã hiện
rankings_展示,Hiện
rankings_隐藏,Ẩn
rankings_点击显示,Nhấp để hiển thị
rankings_点击隐藏,Nhấp để ẩn
rankings_展示中,Đang hiện
rankings_未展示,Ẩn
rankings_已满,Đầy
rankings_暂无徽章,Chưa có huy hiệu
rankings_身份标识提示,Đã đạt hạng 1 bảng xếp hạng {board} {level} lần
rankings_奖励发放,Phát thưởng
rankings_刷新,Làm mới
rankings_暂无排行榜数据,Chưa có dữ liệu bảng xếp hạng
rankings_预计奖励,Phần thưởng dự kiến
rankings_当前没有可展示的排行榜数据,Hiện không có dữ liệu bảng xếp hạng để hiển thị
rankings_可以稍后再试或手动刷新排行榜,Có thể thử lại sau hoặc làm mới bảng xếp hạng thủ công.
rankings_暂无,Chưa có
rankings_当前榜,Bảng xếp hạng hiện tại
rankings_往期榜,Bảng xếp hạng kỳ trước
rankings_结算期,Kỳ thanh toán
rankings_结算时间,Thời gian thanh toán
rankings_暂无往期榜,Chưa có bảng xếp hạng kỳ trước
rankings_结算奖励,Phần thưởng thanh toán
rankings_当前没有可展示的往期排行榜数据,Hiện không có dữ liệu bảng xếp hạng kỳ trước để hiển thị
rankings_请选择其他结算期或榜单,Vui lòng chọn kỳ thanh toán hoặc bảng xếp hạng khác.
rankings_排行榜载入中,Bảng xếp hạng đang tải
rankings_正在同步云端榜单数据,Đang đồng bộ dữ liệu bảng xếp hạng từ đám mây
rankings_无尽排行,Bảng xếp hạng Vô Tận
rankings_赛季最高通关层数,Số tầng vượt ải cao nhất trong mùa
rankings_最高层,Tầng cao nhất
rankings_赛季榜,Bảng xếp hạng mùa
rankings_赛季记录,Kỷ lục mùa
rankings_以最后一次刷新的榜单为准,Bảng xếp hạng lấy theo lần cập nhật cuối cùng.
rankings_榜单结算中...,Bảng xếp hạng đang chốt...
rankings_定榜结算进行中，结算完成后将展示新一周榜单,Đang chốt bảng xếp hạng. Bảng xếp hạng tuần mới sẽ hiển thị sau khi hoàn tất.
rankings_前100纳税总额,Tổng thuế Top 100
rankings_前三名分成,Phần chia cho Top 3
"rankings_前100名纳税总额,前3玩家瓜分10%总纳税池!","Tổng thuế Top 100, Top 3 người chơi chia nhau 10% tổng quỹ thuế!"
rankings_前3玩家瓜分10%纳税池!,Top 3 người chơi chia nhau 10% quỹ thuế!