--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
exchange_全部,All,全部
exchange_装备,Equip,装备
exchange_材料,Material,材料
exchange_药剂,Potion,药剂
exchange_符印,Sigil,符印
exchange_金币不足,Not enough gold!,金币不足!
exchange_交易所,Exchange,交易所
exchange_交易等级,Exchange Level,交易等级
exchange_当前金币,Current Gold,当前金币
exchange_市场,Market,市场
exchange_我的挂单,My Listings,我的挂单
exchange_输入物品ID,Enter Item ID,输入物品ID
exchange_请输入正确的ID,Please enter a valid item ID.,请输入正确的ID
exchange_查询过于频繁或网络繁忙请稍后再试,Too many queries or the network is busy. Please try again later.,查询过于频繁或网络繁忙，请稍后再试
exchange_搜索,Search,搜索
exchange_刷新列表,Refresh,刷新
exchange_重置,Reset,重置
exchange_当前没人出售该物品,No one is currently selling this item.,当前没人出售该物品
exchange_发生异常,Something wrong?,发生异常?
exchange_异常处理,Exception Handling,异常处理
exchange_下架失败购买发货失败记录错误发生时间等待310分,"If delisting fails or purchase delivery fails, record the error time and check mail after 3-10 minutes for returned items. Network issues are usually handled by mail. If unresolved, contact admin QQ: 294652794.","下架失败/购买发货失败,记录错误发生时间,等待3-10分钟查看邮件是否返还物品,正常情况下,网络波动,发生错误都会通过邮件系统处理,没有解决联系管理员QQ:294652794"
exchange_购买,Buy Pass Sigil,购买
exchange_下架,Delist,下架
exchange_上架中,Listing,上架中
exchange_购买中,Buying,购买中
exchange_下架中,Delisting,下架中
exchange_已售出,Sold,已售出
exchange_已过期,Expired,已过期
exchange_该订单已售出,This order has been sold.,该订单已售出
exchange_成交价格,Final Price,成交价格
exchange_每件物品,per item,每件物品
exchange_暂无数据,No data,暂无数据
exchange_未知物品,Unknown Item,未知物品
exchange_暂无描述,No description,暂无描述
exchange_需要售价和售出数量,Price and quantity are required.,需要售价和售出数量
exchange_未解锁交易所功能无法上架商品,"The exchange is not unlocked, so items cannot be listed.",未解锁交易所功能，无法上架商品
exchange_输入数量,Enter quantity,输入数量
exchange_输入单价,Enter unit price,输入单价
exchange_上架商品,List Item,上架商品
exchange_未解锁交易所,Exchange Locked,未解锁交易所
exchange_取消,Cancel,取消
exchange_X级,Lv.{level},{level}级
exchange_品质X,Quality {quality},品质 {quality}
exchange_类型筛选,Type Filter,类型筛选
exchange_等级筛选,Level Filter,等级筛选
exchange_品质筛选,Quality Filter,品质筛选
exchange_订单编号,Order ID: {id},订单编号：{id}
exchange_最多只能同时挂X个订单,You can only list up to {count} orders at the same time.,最多只能同时挂 {count} 个订单
exchange_仓库数量,Warehouse Count,仓库数量
exchange_当前挂单,Active Listings,当前挂单
exchange_挂单数量,Listing Count,挂单数量
exchange_挂单单价,Unit Price,挂单单价
exchange_手续费说明,Listing fee: {fee} Gold. Contract cost: {contract}.,上架花费：{fee}金币 契书x{contract}个。
exchange_消耗X金币和Y个行会契书,Costs {gold} Gold and {contracts} Guild Contracts,消耗 {gold} 金币和 {contracts} 个行会契书
exchange_消耗X金币,Costs {gold} Gold,消耗 {gold} 金币
exchange_交易所已禁用请联系管理员,Exchange is disabled. Please contact an administrator.,交易所已禁用，请联系管理员
exchange_品质普通,Common,普通
exchange_品质精良,Uncommon,精良
exchange_品质稀有,Rare,稀有
exchange_品质史诗,Epic,史诗
exchange_品质传说,Legendary,传说
exchange_品质神话,Mythic,神话
exchange_神铸,Divine Forged,神铸
exchange_挂牌价格X金币,Listing price: <font color='#ffaa33'>{price}</font> Gold,挂牌价格：<font color='#ffaa33'>{price}</font>金币
exchange_上架花费,Listing cost:,上架花费：