--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 9d26fbd · 2026-08-03 06:18:41 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
DOTA_Tooltip_ability_item_apothesis,草木之灵,Spirit of the Woods,Дух лесов,自定义中立物品
DOTA_Tooltip_ability_item_apothesis_Description,<h1>主动：回复术</h1>引导%AbilityChannelTime%秒后，立即回复施法者%hp_regen_constant%点+%hp_regen_total_pct%%%最大生命值和%mana_regen_constant%点+%mana_regen_total_pct%%%最大魔法值。,"<h1>Active: Rejuvenate</h1>After channeling for %AbilityChannelTime%s, restores %hp_regen_constant% + %hp_regen_total_pct%%% of Max Health and %mana_regen_constant% + %mana_regen_total_pct%%% of Max Mana.",<h1>Активная: Rejuvenate</h1>После прерывания в течение %AbilityChannelTime% сек. восстанавливает заклинателю %hp_regen_constant% + %hp_regen_total_pct%%% от макс. здоровья и %mana_regen_constant% + %mana_regen_total_pct%%% от макс. маны.,自定义中立物品
DOTA_Tooltip_ability_item_hand_of_blood,炼化之手,Hand of Transmute,Hand of Transmute,炼化之手
DOTA_Tooltip_ability_item_hand_of_blood_Description,<h1>被动：炼化</h1>击杀英雄时，立刻获得%bonus_gold%金钱。,<h1>Passive: Transmute</h1>Immediately grants %bonus_gold% gold when killing a hero.,<h1>Пассивная: Transmute</h1>При убийстве героя мгновенно даёт %bonus_gold% золота.,炼化之手
DOTA_Tooltip_ability_item_hand_of_blood_bonus_attack_speed,+$attack,+$attack,+$attack,炼化之手
DOTA_Tooltip_Ability_item_recipe_hand_of_blood,图纸（炼化之手）,Recipe (Hand of Transmute),Рецепт: Hand of Transmute,炼化之手
DOTA_Tooltip_ability_item_flame_cloak,火焰斗篷,Cloak of Flames,Cloak of Flames,火焰斗篷
DOTA_Tooltip_ability_item_flame_cloak_Description,<h1>主动：切换形态</h1>在物理伤害（红色）和魔法伤害（蓝色）之间切换火焰斗篷的伤害类型。\n\n<h1>被动：生命之火</h1>每秒对敌军造成 %damage%+%damage_hp_pct%%%×最大生命值 点物理/魔法伤害。幻象每秒造成 %illusion_damage%+%illusion_damage_hp_pct%%%×最大生命值 点物理/魔法伤害。<br>多个灼烧效果无法叠加。<br><br>作用范围：%radius%,<h1>Active: Toggle Form</h1>Switches Cloak of Flames damage type between physical (red) and magic (blue) damage.\n\n<h1>Passive: Immolation</h1>Deals %damage% + %damage_hp_pct%%% of your Max Health as magic/physical damage per second to enemies. Illusions deal %illusion_damage% + %illusion_damage_hp_pct%%% of your Max Health magic/physical damage per second.<br>Multiple burn effects cannot stack.<br><br>Radius: %radius%,<h1>Активная: Переключить форму</h1>Переключает тип урона Cloak of Flames между физическим (красным) и магическим (синим) уроном.\n\n<h1>Пассивная: Immolation</h1>Ежесекундно наносит врагам физический/магический урон в размере %damage% + %damage_hp_pct%%% от своего макс. здоровья. Иллюзии наносят %illusion_damage% + %illusion_damage_hp_pct%%% от своего макс. здоровья физический/магический урона в секунду.<br>Несколько эффектов сжигания не могут накладываться друг на друга.<br><br>Радиус: %radius%,火焰斗篷
DOTA_Tooltip_ability_item_flame_cloak_bonus_strength,+$str,+$str,+$str,火焰斗篷
DOTA_Tooltip_ability_item_flame_cloak_bonus_armor,+$armor,+$armor,+$armor,火焰斗篷
DOTA_Tooltip_ability_item_flame_cloak_bonus_regen,+$hp_regen,+$hp_regen,+$hp_regen,火焰斗篷
DOTA_Tooltip_ability_item_flame_cloak_Lore,中年男性的加油站2号，享受技能增强收益的30%,Middle-Aged Man's Station No.2，gains 30% Spell Amp,"Заправка для мужчин среднего возраста №2,30% бонуса от усиления навыков",火焰斗篷
DOTA_Tooltip_ability_item_super_giant_ring,巨人刚戒,Giant's Ring,Giant's Ring,巨人刚戒
DOTA_Tooltip_ability_item_super_giant_ring_Description,<h1>主动：切换形态</h1>在物理伤害（红色）和魔法伤害（蓝色）之间切换巨人刚戒的伤害类型。\n\n<h1>被动：雄起</h1>靠近敌方英雄完成充能后，下一次攻击将附加 %strike_dmg%+%strike_dmg_hp_pct%%%自身最大生命值 的物理/魔法伤害，并获得%dmg_to_hp_pct%%%该伤害的<font color='#83d18a'>永久生命值</font>。<br><br>充能范围： <b>%radius%</b><br>充能时间： %stay_time%<br>每个目标冷却时间： %strike_cooldown%\n\n<h1>被动：巨人身躯</h1>每%scale_hp_per_stack%生命值提升%scale_bonus%%%体型，最大提升%scald_bonus_max%%%,"<h1>Active: Toggle Form</h1>Switches Giant's Ring damage type between physical (red) and magic (blue) damage.\n\n<h1>Passive: Rise Up</h1>Charges up for %stay_time%s when attacking enemy heroes within %radius% range. Once charged, the next attack deals magic/physical damage equal to %strike_dmg% + %strike_dmg_hp_pct%%% of your Max Health, and grants <font color='#83d18a'>Permanent Health</font> equal to %dmg_to_hp_pct%%% of damage dealt. Can only trigger once every %strike_cooldown%s per target.\n\n<h1>Passive: Giant Form</h1>Increases model size by %scale_bonus%%% for every %scale_hp_per_stack% Health, up to %scald_bonus_max%%%.","<h1>Активная: Переключить форму</h1>Переключает тип урона Giant's Ring между физическим (красным) и магическим (синим) уроном.\n\n<h1>Пассивная: Rise Up</h1>Заряжает атаку в течение %stay_time% сек. против вражеских героев в радиусе %radius%. После зарядки следующая атака нанесёт физический/магический урон в размере %strike_dmg% + %strike_dmg_hp_pct%%% от своего макс. здоровья и даст <font color='#83d18a'>Постоянное здоровье</font> в размере %dmg_to_hp_pct%%% от нанесённого урона. Срабатывает не чаще раза в %strike_cooldown% сек. на одну цель.\n\n<h1>Пассивная: Giant Form</h1>Увеличивает размер модели на %scale_bonus%%% за каждые %scale_hp_per_stack% здоровья, максимум на %scald_bonus_max%%%.",巨人刚戒
DOTA_Tooltip_ability_item_super_giant_ring_bonus_strength,+$str,+$str,+$str,巨人刚戒
DOTA_Tooltip_ability_item_super_giant_ring_bonus_hp,+$health,+$health,+$health,巨人刚戒
DOTA_Tooltip_ability_item_super_giant_ring_Lore,中年男性的加油站，享受技能增强收益的30%,Middle-Aged Man's Station，gains 30% Spell Amp,"Заправка для мужчин среднего возраста,30% бонуса от усиления навыков",巨人刚戒
DOTA_Tooltip_ability_item_mjollnir_fake,雷神之锤（真）,Mjölnir (True),Mjölnir (True),雷神之锤（伪）
DOTA_Tooltip_ability_item_mjollnir_fake_Description,<h1>被动：静电冲击</h1>有%shock_chance%%%几率对%shock_range%码内攻击护盾的目标释放闪电冲击，造成%shock_damage%点魔法伤害。\n\n<h1>被动：连环闪电</h1>攻击有%chain_chance%%%几率释放一道连环闪电，在%chain_radius%范围内%chain_strikes%个目标之间跳跃，每次造成%chain_damage%点魔法伤害。触发闪电时无视闪避。,"<h1>Passive: Static Charge</h1>Has a %shock_chance%%% chance to release a static charge at targets attacking the shield within %shock_range% range, dealing %shock_damage% magic damage.\n\n<h1>Passive: Chain Lightning</h1>Attacks have a %chain_chance%%% chance to release a bolt of chain lightning that leaps between %chain_strikes% targets within %chain_radius% range, dealing %chain_damage% magic damage. This effect pierces Evasion.","<h1>Пассивная: Static Charge</h1>При получении атаки в радиусе %shock_range% с вероятностью %shock_chance%%% выпускает статический заряд, наносящий %shock_damage% магического урона.\n\n<h1>Пассивная: Chain Lightning</h1>При каждой атаке с вероятностью %chain_chance%%% выпускает цепь молний, которая прыгает по %chain_strikes% целям в радиусе %chain_radius% и наносит каждой %chain_damage% магического урона. Молния игнорирует уклонение.",雷神之锤（伪）
DOTA_Tooltip_ability_item_mjollnir_fake_bonus_damage,+$damage,+$damage,+$damage,雷神之锤（伪）
DOTA_Tooltip_ability_item_mjollnir_fake_bonus_attack_speed,+$attack,+$attack,+$attack,雷神之锤（伪）
DOTA_Tooltip_ability_item_mjollnir_fake_Lore,可以和雷神之锤叠加,,,雷神之锤（伪）
DOTA_Tooltip_ability_item_blade_mail_Lore,<font color='#F89F21'>在该模式下，反弹系数有所降低</font>,"<font color='#F89F21'>In this mode, damage reflection is reduced</font>",<font color='#F89F21'>В этом режиме коэффициент отражения урона снижен</font>,原版刃甲调整
DOTA_Tooltip_ability_item_satanic_Lore,<font color='#F89F21'>在该模式下，冷却时间有所提升</font>,"<font color='#F89F21'>In this mode, cooldown is increased</font>",<font color='#F89F21'>В этом режиме время перезарядки увеличено</font>,原版撒旦调整
DOTA_Tooltip_ability_item_heart_Lore,<font color='#F89F21'>在该模式下，恢复降低，力量提升</font>,"<font color='#F89F21'>In this mode, recovery decreased, strength increased</font>","<font color='#F89F21'>В этом режиме, восстановление снижено, сила повышена</font>",龙心
DOTA_Tooltip_ability_item_diffusal_blade_Lore,<font color='#F89F21'>在该模式下，削蓝降低了50%</font>,"<font color='#F89F21'>In this mode, mana cost -50%</font>",<font color='#F89F21'>В этом режиме расход маны -50%</font>,散失
