--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
pet_panel_蓝龙,Rồng xanh
pet_panel_温顺却不失威严的幼龙擅长陪伴冒险者踏入漫长旅途,"Rồng con hiền lành nhưng uy nghi, thích hợp đồng hành cùng nhà thám hiểm trên hành trình dài."
pet_panel_女巫,Phù thủy
pet_panel_戴着尖帽的灵体使者静静跟随主人在黑夜里守望战场,"Sứ giả linh hồn đội mũ nhọn, lặng lẽ theo chủ nhân canh gác chiến trường trong đêm tối."
pet_panel_雷狼龙,Lôi Lang Long
pet_panel_兼具狼的敏捷与龙的压迫感行动间会带起细碎雷光,"Kết hợp sự nhanh nhẹn của sói và uy áp của rồng, khi hành động sẽ mang theo những tia lôi điện vụn."
pet_panel_攻击力,Sức tấn công
pet_panel_生命值,Máu
pet_panel_移动速度,Tốc độ di chuyển
pet_panel_生命回复,Hồi máu
pet_panel_仓库格子,Ô kho
pet_panel_背包格子,Ô ba lô
pet_panel_宠物,Thú cưng
pet_panel_精良,Tinh lương
pet_panel_稀有,Hiếm
pet_panel_史诗,Sử thi
pet_panel_传说,Huyền thoại
pet_panel_神话,Thần thoại
pet_panel_已拥有宠物,Thú cưng đã có
pet_panel_当前出战,Đang xuất chiến
pet_panel_未设置,Chưa thiết lập
pet_panel_出战中,Đang xuất chiến
pet_panel_待命,Chờ lệnh
pet_panel_我的宠物,Thú cưng của tôi
pet_panel_选择一只宠物查看详情,Chọn một thú cưng để xem chi tiết
pet_panel_可设为出战,Có thể đặt làm thú cưng xuất chiến
pet_panel_已出战,Đã xuất chiến
pet_panel_当前还没有已拥有的宠物,Hiện chưa có thú cưng sở hữu
pet_panel_当前出战宠物,Thú cưng xuất chiến hiện tại
pet_panel_与驯兽师对话后可在这里切换当前出战宠物,"Sau khi nói chuyện với người thuần thú, bạn có thể chuyển đổi thú cưng xuất chiến hiện tại tại đây."
pet_panel_设为出战,Đặt làm xuất chiến
pet_panel_卸下宠物,Tháo thú cưng
pet_panel_属性加成,Cộng chỉ số
pet_panel_暂无可展示的宠物信息,Hiện không có thông tin thú cưng để hiển thị
pet_panel_当前选中,Đang chọn hiện tại
pet_panel_该宠物当前没有额外属性加成,Thú cưng này hiện không có cộng chỉ số thêm
pet_panel_宠物品质,Phẩm chất thú cưng
pet_panel_宠物移速,Tốc độ di chuyển thú cưng
pet_panel_宠物配置,Cấu hình thú cưng