--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
ancient_shop_即将刷新,Sắp làm mới
ancient_shop_请先选择商品,Vui lòng chọn sản phẩm trước
ancient_shop_该商品已售出,Sản phẩm này đã bán
ancient_shop_远古商贩,Người bán hàng cổ xưa
ancient_shop_购买,Mua
ancient_shop_刷新商店,Làm mới cửa hàng
ancient_shop_快捷出售背包中未锁定的物品,Bán nhanh vật phẩm chưa khóa trong túi
ancient_shop_快捷出售,Bán nhanh
ancient_shop_确认刷新商店,Xác nhận làm mới cửa hàng
ancient_shop_确认刷新,Xác nhận làm mới
ancient_shop_取消,Hủy bỏ
ancient_shop_已售,Đã bán
ancient_shop_每X分钟刷新库存,Làm mới kho sau mỗi {minutes} phút
ancient_shop_下次刷新X每Y分钟,Làm mới tiếp theo {time} / sau mỗi {minutes} phút
ancient_shop_今日剩余刷新X次,Hôm nay còn {count} lần làm mới
ancient_shop_商品价格提示,{name}\nGiá: {price}