--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
alchemy_panel_炼金,Алхимия
alchemy_panel_炼金阵,Алхимический круг
alchemy_panel_秘仪控制台,Панель алхимии
alchemy_panel_炼金阵封存,Запечатывание алхимического круга
alchemy_panel_当前仅开放一座法阵,В настоящее время доступен только один круг
alchemy_panel_解锁法阵,Разблокировать круг
alchemy_panel_炼金核心,Алхимическое ядро
alchemy_panel_每分钟后缀,/мин
alchemy_panel_炼金材料,Алхимические материалы
alchemy_panel_未开通材料槽,Слот для материалов не открыт
alchemy_panel_待投料,Ожидает загрузки
alchemy_panel_产量,Выход
alchemy_panel_封存,Запечатать
alchemy_panel_已达上限,Достигнут лимит
alchemy_panel_运行中,Работает
alchemy_panel_存储上限,Лимит хранения
alchemy_panel_上限等级,Уровень лимита
alchemy_panel_升级,Улучшить
alchemy_panel_材料槽扩展,Расширение слота материалов
alchemy_panel_扩展,Расширить
alchemy_panel_领取产出,Забрать продукцию
alchemy_panel_扩展材料槽,Расширить слот материалов
alchemy_panel_消耗材料,Расходные материалы
alchemy_panel_确认扩展,Подтвердить расширение
alchemy_panel_取消,Отмена
alchemy_panel_升级收益上限,Максимальная выгода от улучшения
alchemy_panel_升级后上限,Максимум после улучшения
alchemy_panel_确认升级,Подтвердить улучшение
alchemy_panel_请拖到背包或仓库取回材料,"Перетащите в инвентарь или склад, чтобы забрать материалы"
alchemy_panel_请先解锁炼金法阵,Сначала разблокируйте алхимический круг
alchemy_panel_没有空白槽位,Нет пустых слотов
alchemy_material_tooltip_支持材料,Поддерживаемые материалы
alchemy_material_tooltip_支持材料说明,Следующие материалы можно поместить в слот для алхимических материалов
alchemy_material_tooltip_产能,Производительность
alchemy_material_tooltip_暂无可用材料,Нет доступных материалов
alchemy_material_tooltip_材料数量不足,Недостаточно материалов
alchemy_material_tooltip_选择材料,Выбрать материал
alchemy_material_tooltip_拥有,В наличии