--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
exchange_全部,Tất cả
exchange_装备,Trang bị
exchange_材料,Nguyên liệu
exchange_药剂,Thuốc
exchange_符印,Phù ấn
exchange_金币不足,Không đủ vàng!
exchange_交易所,Sàn giao dịch
exchange_交易等级,Cấp giao dịch
exchange_当前金币,Vàng hiện tại
exchange_市场,Thị trường
exchange_我的挂单,Đơn treo của tôi
exchange_输入物品ID,Nhập ID vật phẩm
exchange_请输入正确的ID,Vui lòng nhập ID vật phẩm hợp lệ
exchange_查询过于频繁或网络繁忙请稍后再试,Quá nhiều truy vấn hoặc mạng đang bận. Vui lòng thử lại sau.
exchange_搜索,Tìm kiếm
exchange_刷新列表,Làm mới danh sách
exchange_重置,Đặt lại
exchange_当前没人出售该物品,Hiện không có ai bán vật phẩm này.
exchange_发生异常,Xảy ra lỗi?
exchange_异常处理,Xử lý lỗi
exchange_下架失败购买发货失败记录错误发生时间等待310分,"Hủy niêm yết thất bại / Mua và giao hàng thất bại. Ghi lại thời gian xảy ra lỗi, chờ 3-10 phút và kiểm tra email xem vật phẩm đã được trả lại chưa. Thông thường, sự cố mạng, lỗi xảy ra đều được xử lý qua hệ thống email. Nếu không giải quyết được, hãy liên hệ quản trị viên QQ:294652794"
exchange_购买,Mua
exchange_下架,Hủy niêm yết
exchange_上架中,Đang niêm yết
exchange_购买中,Đang mua
exchange_下架中,Đang hủy niêm yết
exchange_已售出,Đã bán
exchange_该订单已售出,Đơn hàng này đã bán
exchange_成交价格,Giá giao dịch
exchange_每件物品,Mỗi vật phẩm
exchange_暂无数据,Không có dữ liệu
exchange_未知物品,Vật phẩm không xác định
exchange_暂无描述,Không có mô tả
exchange_需要售价和售出数量,Cần giá bán và số lượng bán
exchange_未解锁交易所功能无法上架商品,"Chưa mở khóa chức năng sàn giao dịch, không thể đăng bán vật phẩm"
exchange_输入数量,Nhập số lượng
exchange_输入单价,Nhập đơn giá
exchange_上架商品,Đăng bán
exchange_未解锁交易所,Chưa mở khóa sàn giao dịch
exchange_取消,Hủy
exchange_X级,Cấp {level}
exchange_品质X,Chất lượng {quality}
exchange_类型筛选,Lọc theo loại
exchange_等级筛选,Lọc theo cấp
exchange_品质筛选,Lọc theo chất lượng
exchange_订单编号,Mã đơn hàng: {id}
exchange_最多只能同时挂X个订单,Tối đa chỉ có thể treo {count} đơn hàng cùng lúc
exchange_仓库数量,Số lượng trong kho
exchange_当前挂单,Đơn treo hiện tại
exchange_挂单数量,Số lượng đơn treo
exchange_挂单单价,Đơn giá đơn treo
exchange_手续费说明,Phí: {fee} vàng. Tiêu hao khế thư: {contract}.
exchange_消耗X金币和Y个行会契书,Tiêu hao {gold} vàng và {contracts} khế thư hội.
exchange_消耗X金币,Tiêu hao {gold} vàng
exchange_已过期,Đã hết hạn
exchange_交易所已禁用请联系管理员,Sàn giao dịch đã bị vô hiệu hóa. Vui lòng liên hệ quản trị viên.
exchange_品质普通,Thường
exchange_品质精良,Tinh xảo
exchange_品质稀有,Hiếm
exchange_品质史诗,Sử thi
exchange_品质传说,Huyền thoại
exchange_品质神话,Thần thoại
exchange_神铸,Thần Tạo
exchange_挂牌价格X金币,Giá niêm yết: <font color='#ffaa33'>{price}</font> vàng
exchange_上架花费,Chi phí đăng bán: