--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
merchant_panel_普通,Обычный
merchant_panel_进阶,Продвинутый
merchant_panel_稀有,Редкий
merchant_panel_大师,Мастер
merchant_panel_收购需求,Требования закупки
merchant_panel_奖励,Награда:
merchant_panel_提交,Сдать
merchant_panel_会馆商人,Скупщик
merchant_panel_任务生成中,Генерация задания
merchant_panel_X小时Y分,{hours} ч {minutes} мин
merchant_panel_X分Y秒,{minutes} мин {seconds} сек
merchant_panel_刷新中,Обновление
merchant_panel_今日已刷新X次,Сегодня обновлено {count}/{limit} раз
merchant_panel_今日已刷新X次明日可继续,Достигнут лимит ежедневных обновлений.
merchant_panel_积分兑换,Обмен очков
merchant_panel_当前积分X,Текущие очки: {points}
merchant_panel_悬赏金币X,Наградные монеты: {points}
merchant_panel_X悬赏金币,{cost} наградных монет
merchant_panel_兑换,Обменять
merchant_panel_返回订单,Вернуться к заказам
merchant_panel_兑换商品刷新中,Товары обновляются
merchant_panel_兑换商店下次刷新X今日Y,"Следующее обновление: {time}, сегодня {count}/{limit} раз"
merchant_panel_兑换商店下次刷新X已达上限,"Следующее обновление: {time}, лимит на сегодня исчерпан"
merchant_panel_刷新兑换商店,Обновить магазин обмена
merchant_panel_待解锁订单槽X,Заблокированный слот заказа {slot}
merchant_panel_解锁订单槽,Разблокировать слот заказа
merchant_panel_确认解锁订单槽,Подтвердить разблокировку слота
merchant_panel_确认消耗X解锁第Y个订单槽,Подтвердите трату {cost} наградных монет для разблокировки слота {slot}?
merchant_panel_确认解锁,Подтвердить разблокировку
merchant_panel_取消,Отмена
merchant_panel_请先解锁前置订单槽,Сначала разблокируйте предыдущий слот заказа.
merchant_panel_完成获得X悬赏金币,"Завершите заказ, чтобы получить {points} золотых за награду."
merchant_panel_每日收购任务,Ежедневные задания на закупку.
merchant_panel_今日完成订单X_Y,Сегодня выполнено заказов: {count}/{target}
merchant_panel_X_Y已完成,Выполнено {count}/{target}
merchant_panel_完成X个后解锁每日奖励,"Завершите {target} заказов, чтобы разблокировать ежедневную награду."
merchant_panel_领取,Получить
merchant_panel_已领取,Получено
merchant_panel_确认重置订单,Подтвердить сброс заказа.
merchant_panel_确认消耗X重置订单,Подтвердить расход {cost} Гильдийских контрактов для сброса этого заказа?
merchant_panel_确认重置,Подтвердить сброс.
merchant_panel_今日已重置X_Y个订单,Сегодня сброшено {count}/{limit} заказов.
merchant_panel_今日订单重置已达上限,Лимит сбросов заказов на сегодня исчерпан.
merchant_panel_订单槽X今日已完成,Слот заказа {slot} сегодня завершен.
merchant_panel_订单槽冷却进度X_Y,"Остывает: {count}/{target}, обновится завтра."
merchant_panel_剩余X个,Осталось: {count}