--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
pay_page_微信支付,Thanh toán WeChat
pay_page_支付宝支付,Thanh toán Alipay
pay_page_DukPay支付,DukPay
pay_page_更多支付方式,Phương thức thanh toán khác
pay_page_返回,Quay lại
pay_page_浏览器支付,Thanh toán qua trình duyệt
pay_page_浏览器支付已打开,Đã mở trang thanh toán trong trình duyệt
pay_page_订单,Đơn hàng
pay_page_查询支付结果,Tra cứu kết quả thanh toán
pay_page_到账延迟时可尝试手动刷新点券,"*Khi chuyển tiền bị chậm, hãy thử làm mới điểm thủ công"
pay_page_我已支付,Tôi đã thanh toán
pay_page_关闭,Đóng
pay_page_取消,Hủy
pay_page_袩芯写写械褉卸邪褌褜薪邪褋胁TelegramDi,Ủng hộ chúng tôi trên Telegram/Discord
pay_page_内测限定,Giới hạn Closed Beta
pay_page_当前点券,Điểm hiện tại
pay_page_内测赞助额外赠送25百分比,Nạp tiền Closed Beta tặng thêm 25%
pay_page_测试结束后返还所有已消耗点券,"Sau khi kết thúc thử nghiệm, hoàn trả tất cả điểm đã tiêu."
pay_page_赞助X元,Nạp {cost} tệ
pay_page_支付成功到账X点券,"Thanh toán thành công, nhận được {points} điểm"
pay_page_获得X点券,+{points} điểm
pay_page_赠,[Tặng]
pay_page_累计赞助点券进度,Tổng nạp điểm: {current}/{required}
pay_page_选择支付方式,Chọn phương thức thanh toán
pay_page_Paymentwall支付,Thanh toán Paymentwall
pay_page_请先选择地区,Vui lòng chọn khu vực trước
pay_page_购买商品X元,Mua {name} ￥{cost}
pay_page_每日特惠,Ưu đãi hàng ngày
pay_page_地区,Khu vực
pay_page_选择地区,Chọn khu vực
pay_page_地区支持X种支付方式,Khu vực {region} hỗ trợ {count} phương thức thanh toán
pay_page_当前展示全部X种支付方式,"Vui lòng chọn khu vực trước, hiện đang hiển thị tất cả {count} phương thức thanh toán"
pay_page_当前地区暂无可用支付方式,Khu vực hiện tại chưa có phương thức thanh toán khả dụng
pay_page_支付成功礼包已到账,"Thanh toán thành công, gói quà đã về tài khoản"
pay_page_礼包支付完成说明,"Sau khi thanh toán hoàn tất, gói quà sẽ được gửi tự động. Nếu chưa nhận được, hãy bấm “Tôi đã thanh toán” để thử lại."
pay_page_获得X永恒点券池,+{points} giới hạn Quỹ Điểm Vĩnh Cửu
pay_page_获取支付链接失败,"Không lấy được liên kết thanh toán, vui lòng thử lại"
pay_page_未查询到支付结果,"Không tìm thấy kết quả thanh toán, vui lòng thử lại sau"
pay_page_付款即代表您已同意,Việc thanh toán đồng nghĩa bạn đã đồng ý
pay_page_此协议,với thỏa thuận này
pay_page_重要提示,Lưu ý quan trọng
pay_page_协议阅读与同意提示,Vui lòng đọc toàn bộ nội dung thỏa thuận. Tiếp tục thanh toán coi như bạn đã đồng ý với thỏa thuận này.
pay_page_地区_CN,Trung Quốc đại lục
pay_page_地区_HK,Hồng Kông (Trung Quốc)
pay_page_地区_TW,Đài Loan (Trung Quốc)
pay_page_地区_MO,Ma Cao
pay_page_地区_SG,Singapore
pay_page_地区_MY,Malaysia
pay_page_地区_TH,Thái Lan
pay_page_地区_ID,Indonesia
pay_page_地区_PH,Philippines
