--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
pay_page_微信支付,Оплата через WeChat
pay_page_支付宝支付,Оплата через Alipay
pay_page_DukPay支付,DukPay
pay_page_更多支付方式,Другие способы оплаты
pay_page_返回,Назад
pay_page_浏览器支付,Оплата в браузере
pay_page_浏览器支付已打开,Страница оплаты открыта в браузере
pay_page_订单,Заказ
pay_page_查询支付结果,Проверить результат оплаты
pay_page_到账延迟时可尝试手动刷新点券,*При задержке зачисления попробуйте обновить баланс вручную
pay_page_我已支付,Я оплатил
pay_page_关闭,Закрыть
pay_page_取消,Отмена
pay_page_袩芯写写械褉卸邪褌褜薪邪褋胁TelegramDi,Поддержите нас в Telegram/Discord
pay_page_内测限定,Ограничено бета-тестом
pay_page_当前点券,Текущие баллы
pay_page_内测赞助额外赠送25百分比,Бонус 25% за пополнение во время бета-теста
pay_page_测试结束后返还所有已消耗点券,После окончания теста все потраченные баллы будут возвращены.
pay_page_赞助X元,Пополнить на {cost} юань
pay_page_支付成功到账X点券,"Оплата успешна, начислено {points} баллов"
pay_page_获得X点券,+{points} баллов
pay_page_赠,[Бонус]
pay_page_累计赞助点券进度,Прогресс накопления баллов: {current}/{required}
pay_page_选择支付方式,Выберите способ оплаты
pay_page_Paymentwall支付,Оплата через Paymentwall
pay_page_请先选择地区,Сначала выберите регион
pay_page_购买商品X元,Купить {name} ￥{cost}
pay_page_每日特惠,Ежедневная скидка
pay_page_地区,Регион
pay_page_选择地区,Выберите регион
pay_page_地区支持X种支付方式,В регионе {region} доступно {count} способов оплаты
pay_page_当前展示全部X种支付方式,Сначала выберите регион. Сейчас показаны все {count} способов оплаты.
pay_page_当前地区暂无可用支付方式,В текущем регионе нет доступных способов оплаты
pay_page_支付成功礼包已到账,"Оплата прошла успешно, набор зачислен"
pay_page_礼包支付完成说明,"После оплаты набор будет выдан автоматически. Если набор не пришёл, нажмите «Я оплатил» для повторной попытки."
pay_page_获得X永恒点券池,+{points} к лимиту вечного резерва очков
pay_page_获取支付链接失败,Не удалось получить ссылку на оплату. Попробуйте снова.
pay_page_未查询到支付结果,Результат оплаты не найден. Повторите попытку позже.
pay_page_付款即代表您已同意,Оплата означает ваше согласие
pay_page_此协议,с этим соглашением
pay_page_重要提示,Важное уведомление
pay_page_协议阅读与同意提示,"Внимательно прочитайте соглашение. Продолжая оплату, вы соглашаетесь с ним."
pay_page_地区_CN,Материковый Китай
pay_page_地区_HK,Гонконг (Китай)
pay_page_地区_TW,Тайвань (Китай)
pay_page_地区_MO,Макао
pay_page_地区_SG,Сингапур
pay_page_地区_MY,Малайзия
pay_page_地区_TH,Таиланд
pay_page_地区_ID,Индонезия
pay_page_地区_PH,Филиппины
pay_page_地区_VN,Вьетнам
pay_page_地区_JP,Япония
pay_page_地区_KR,Южная Корея
pay_page_地区_US,США
pay_page_地区_CA,Канада
pay_page_地区_GB,Великобритания
pay_page_地区_DE,Германия
pay_page_地区_FR,Франция
pay_page_地区_NL,Нидерланды
pay_page_地区_ES,Испания
pay_page_地区_IT,Италия
pay_page_地区_BR,Бразилия
pay_page_地区_MX,Мексика
pay_page_地区_RU,Россия
