--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
shop_mall_点券赞助,Nạp điểm
shop_mall_兑换码,Mã đổi thưởng
shop_mall_选择支付方式,Chọn phương thức thanh toán
shop_mall_未查询到支付结果,Không tìm thấy kết quả thanh toán!
shop_mall_赞助商城,Cửa hàng tài trợ
shop_mall_输入兑换码,Nhập mã đổi thưởng
shop_mall_兑换商店,Cửa hàng đổi thưởng
shop_mall_普通兑换,Đổi thường
shop_mall_会员兑换,Đổi cho hội viên
shop_mall_暂无可兑换,Hiện không có hàng đổi
shop_mall_月卡专属,Dành riêng cho thẻ tháng
shop_mall_需月卡,Cần thẻ tháng
shop_mall_永久卡专属,Dành riêng cho thẻ vĩnh viễn
shop_mall_需永久卡,Cần thẻ vĩnh viễn
shop_mall_暂无商品,Mùa này chưa có hàng
shop_mall_剩余,Còn lại
shop_mall_已售罄,Đã bán hết
shop_mall_宝藏,Bảo vật
shop_mall_会员特权,Đặc quyền hội viên
shop_mall_微信支付,WeChat Pay
shop_mall_支付宝支付,Alipay
shop_mall_赞助,Nạp tiền
shop_mall_刷新,Làm mới
shop_mall_当前点券,Điểm hiện tại
shop_mall_礼包商城,Cửa hàng gói quà
shop_mall_秘宝,Bảo vật
shop_mall_扩展包,Gói mở rộng
shop_mall_礼包,Gói quà
shop_mall_精选礼包,Gói quà chọn lọc
shop_mall_精选礼包_desc,"Chuẩn bị tiếp tế, bảo vật và tăng cường chiến trường cho cuộc chinh phạt tiếp theo. Gói quà chọn lọc giúp bạn nhanh chóng lên ngôi vương."
shop_mall_当前上架礼包,Gói quà đang bán
shop_mall_购买成功,Mua thành công
shop_mall_礼包内容,Nội dung gói quà
shop_mall_立即购买,Mua ngay
shop_mall_限购,Giới hạn mua
shop_mall_次,lần
shop_mall_行会礼包,Gói quà hội
shop_mall_行会图册,Album hội
shop_mall_元,đồng
shop_mall_获取订单中,Đang lấy đơn hàng...
shop_mall_查询支付结果,Đang tra cứu kết quả thanh toán...
shop_mall_支付成功,Thanh toán thành công!
shop_mall_关闭,Đóng
shop_mall_取消,Hủy
shop_mall_我已支付,Tôi đã thanh toán
shop_mall_到账延迟提示,"*Khi chậm nhận tiền, hãy thử làm mới thủ công điểm quà"
shop_mall_道具商店,Cửa hàng đạo cụ
shop_mall_道具商店_desc,Hãy đến chọn những đạo cụ yêu thích nhé!
shop_mall_礼包奖励_preview,Phần thưởng gói quà
shop_mall_包装纸,Giấy gói
shop_mall_包装纸_desc,Giấy đẹp để gói trang sức thành quà tặng
shop_mall_冲刺礼包,Gói quà tăng tốc
shop_mall_冲刺礼包_desc,"Quà tặng tăng tốc khi mở máy chủ, ưu đãi có hạn!"
shop_item_7_desc,Nhận vàng nhân đôi trong một thời gian
shop_mall_月卡,Thẻ tháng
shop_mall_月卡_desc,Mỗi ngày: thêm 5 hợp đồng hội.
shop_mall_永久卡,Thẻ vĩnh viễn
shop_mall_永久卡_desc,Vĩnh viễn: 1 chìa khóa bí ẩn mỗi ngày.
shop_mall_购买,Mua
shop_mall_领取,Nhận
shop_mall_今日已领,Đã nhận hôm nay
shop_mall_未开通,Chưa kích hoạt
shop_mall_今日待领,Chờ nhận hôm nay
shop_mall_购买激活,Mua và kích hoạt
shop_mall_月卡奖励提示_待领,"Đã mở khóa, nhớ nhận phần thưởng thẻ tháng hôm nay"
shop_mall_奖励提示_已领,"Phần thưởng đã nhận, ngày mai có thể nhận lại"
shop_mall_月卡奖励提示_未激活,"Sau khi mua thẻ tháng, mỗi ngày có thể nhận 5 vật phẩm thưởng"
shop_mall_永久卡奖励提示_待领,"Đã mở khóa, nhớ nhận thưởng thẻ vĩnh viễn hôm nay"
shop_mall_永久卡奖励提示_未激活,"Sau khi mua thẻ vĩnh viễn, mỗi ngày có thể nhận 1 vật phẩm thưởng"
shop_mall_月卡有效期,Thời hạn hiệu lực thẻ tháng
shop_mall_再次购买延长月卡,Mua lại có thể gia hạn thời hạn hiệu lực thẻ tháng
shop_mall_上次到期时间,Thời gian hết hạn lần trước
shop_mall_月卡已过期,Thẻ tháng đã hết hạn
shop_mall_再次购买,Mua lại
shop_mall_立即开通,Mở ngay
shop_mall_生效中,Đang có hiệu lực
shop_mall_已到期,Đã hết hạn
shop_mall_有效期至,Có hiệu lực đến: {time}
shop_mall_月卡特权_背包,+5 ô ba lô phụ
shop_mall_月卡特权_幸运,+30 điểm may mắn
shop_mall_月卡特权_商店商品数量,+4 vật phẩm trong cửa hàng
shop_mall_每日可领取,Mỗi ngày có thể nhận
shop_mall_永久卡特权_背包,+5 ô ba lô phụ
shop_mall_永久卡特权_幸运,+30 điểm may mắn
shop_mall_永久卡特权_仓库,+50 giới hạn kho
shop_mall_品质普通,Thường
shop_mall_品质优秀,Tốt
shop_mall_品质稀有,Hiếm
shop_mall_品质史诗,Sử thi
shop_mall_品质传奇,Huyền thoại
shop_mall_品质神话,Thần thoại
shop_mall_类型装备,Trang bị
shop_mall_类型配方,Công thức
shop_mall_类型特殊,Đặc biệt
shop_mall_类型宝石,Đá quý
shop_mall_类型药剂,Thuốc
shop_mall_类型材料,Nguyên liệu
shop_mall_物品等级,Cấp
shop_mall_物品数量,Số lượng
shop_mall_基础版,Bản cơ bản
shop_mall_豪华版,Bản cao cấp
shop_mall_三张全新地图,3 bản đồ mới
