--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
item_split_modal_拆分后新物品将直接进入背包,После разделения новый предмет сразу попадет в инвентарь.
item_split_modal_拆分后新物品将放入背包空格,После разделения новый предмет будет помещен в свободную ячейку инвентаря.
item_split_modal_选择拆分数量,Выберите количество для разделения
item_split_modal_确认拆分,Подтвердить разделение
item_split_modal_取消,Отмена