--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
knapsack_暂无描述,Chưa có mô tả
knapsack_整理,Sắp xếp
knapsack_默认,Mặc định
knapsack_按价值,Theo giá trị
knapsack_补给,Tiếp tế
knapsack_全部存入,Gửi tất cả
knapsack_背包容量,Balô ({used}/{max})
knapsack_估值X,Định giá {value}
knapsack_alt_deposit_hint,Alt + Chuột trái: gửi nhanh vào kho
knapsack_批量上锁,Khóa hàng loạt
knapsack_批量分解,Phân rã hàng loạt
knapsack_批量解锁,Mở khóa hàng loạt