--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
hud_攻击,Tấn công
hud_返回,Quay lại
hud_设置,Cài đặt
hud_邮件,Thư
hud_请选择邮件查看,Vui lòng chọn thư để xem
hud_攻击力,Sức tấn công:
hud_攻击速度,Tốc độ tấn công:
hud_攻击距离,Tầm đánh:
hud_移动速度,Tốc độ di chuyển:
hud_伤害增强,Tăng sát thương:
hud_魔法恢复,Hồi phục mana:
hud_攻击暴击,Chí mạng tấn công:
hud_技能暴击,Chí mạng kỹ năng:
hud_物理暴击,Chí mạng vật lý:
hud_魔法暴击,Chí mạng phép:
hud_伤害加成,Cộng thêm sát thương:
hud_物理伤害,Sát thương vật lý:
hud_魔法伤害,Sát thương phép:
hud_暴击伤害,Sát thương chí mạng:
hud_技能伤害,Sát thương kỹ năng:
hud_攻击吸血,Hút máu tấn công:
hud_物理吸血,Hút máu vật lý:
hud_技能吸血,Hút máu kỹ năng:
hud_魔法吸血,Hút máu phép:
hud_伤害抵抗,Kháng sát thương:
hud_额外施法距离,Tầm thi triển thêm:
hud_视野范围,Tầm nhìn:
hud_冷却缩减,Giảm thời gian hồi chiêu:
hud_耗蓝减少,Giảm tiêu hao năng lượng:
hud_防御,Phòng thủ
hud_综合,Tổng hợp
hud_特殊,Đặc biệt
hud_生命值,Máu:
hud_魔法值,Năng lượng:
hud_护盾值,Lượng khiên:
hud_护甲,Giáp:
hud_物理抗性,Kháng vật lý:
hud_魔法抗性,Kháng phép:
hud_状态抗性,Kháng hiệu ứng:
hud_减速抗性,Kháng làm chậm:
hud_闪避,Né tránh:
hud_格挡,Chặn đòn:
hud_伤害减免,Giảm sát thương:
hud_生命恢复,Hồi phục máu:
hud_幸运值:,May mắn:
ak_combat_notice_player_fallback,Người chơi
ak_combat_notice_death_defeated,bị đánh bại
ak_combat_notice_death_fallen,ngã xuống
ak_combat_notice_death_killed_by_prefix,bị 
ak_combat_notice_death_killed_by_suffix, đánh bại
ak_combat_notice_unknown_boss,Boss chưa biết
ak_combat_notice_unknown_rune,Chưa biết
ak_combat_notice_entered,đã vào
ak_combat_notice_evacuate,Sơ tán
ak_combat_notice_success,Thành công
ak_combat_notice_killed,Đã hạ gục 
ak_combat_notice_craft_success,Chế tạo thành công
ak_combat_notice_craft_start,Bắt đầu chế tạo
ak_combat_notice_got_rune,Nhận được Rune:
ak_combat_notice_rune_suffix,Rune
ak_combat_notice_picked_up,đã nhặt
ak_combat_notice_dropped,đã bỏ
name_unknown_room,Phòng chưa biết
ak_tooltip_term_poison_name,Trúng độc
ak_tooltip_term_poison_desc,"Gây sát thương phép theo chu kỳ. Sát thương dựa trên tất cả thuộc tính của người thi triển, tất cả các cộng dồn cùng tham gia tính toán tổng sát thương độc."
ak_tooltip_term_burn_name,Thiêu đốt
ak_tooltip_term_burn_desc,"Gây sát thương thuần khiết theo chu kỳ. Mục tiêu thường chịu 15% máu hiện tại mỗi giây, tinh anh 7.5%, thủ lĩnh và cấp thủ lĩnh 1.5%."
ak_tooltip_term_shield_name,Khiên
ak_tooltip_term_shield_desc,"Chặn sát thương không thuần khiết. Không hồi phục trong 3 giây sau khi nhận sát thương; sau khi bắt đầu hồi phục, hồi 25% mỗi giây."
ak_tooltip_term_bleed_name,Chảy máu
ak_tooltip_term_bleed_desc,"Chảy máu chỉ có thể được kích hoạt bởi sát thương vật lý, gây sát thương thuần khiết theo chu kỳ. Sát thương dựa trên 70% sát thương cuối cùng của đòn kích hoạt chảy máu, đồng thời chỉ chịu ảnh hưởng từ sát thương chảy máu và tăng sát thương liên tục."
ak_tooltip_term_ice_slow_name,Đóng băng
ak_tooltip_term_ice_slow_desc,"Giảm tốc độ di chuyển và tốc độ tấn công. Mỗi cộng dồn giảm 3%, tối đa 10 cộng dồn."
ak_tooltip_term_stun_name,Choáng
ak_tooltip_term_stun_desc,"Không thể di chuyển, tấn công hoặc niệm phép. Thời gian chịu ảnh hưởng bởi kháng choáng."
ak_tooltip_term_vulnerable_name,Dễ tổn thương
ak_tooltip_term_vulnerable_desc,"Tăng tất cả sát thương phải chịu. Ban đầu tăng 20%, mỗi cộng dồn thêm 5%, tối đa 40%."
ak_tooltip_term_attack_crit_name,Bạo kích tấn công
ak_tooltip_term_crit_name,Bạo kích
ak_tooltip_term_attack_crit_desc,"Đòn đánh thường có tỉ lệ gây sát thương cao hơn. Bạo kích ban đầu là 5%, sát thương bạo kích là 180%."
ak_tooltip_term_ability_crit_name,Bạo kích kỹ năng
ak_tooltip_term_ability_crit_desc,"Sát thương kỹ năng có tỉ lệ gây sát thương cao hơn. Sát thương bạo kích ban đầu là 180%. Khi kích hoạt, sử dụng tỉ lệ sát thương bạo kích hiện tại."
ak_tooltip_term_omni_crit_name,Bạo kích toàn diện
ak_tooltip_term_omni_crit_desc,Tăng xác suất chí mạng của tất cả.
ak_tooltip_term_evasion_rate_name,Tỷ lệ né tránh
ak_tooltip_term_evasion_name,Né tránh
ak_tooltip_term_evasion_desc,Có xác suất né tránh đòn tấn công. Nhiều nguồn né tránh sẽ được tính riêng biệt.
ak_tooltip_term_block_name,Chặn đòn
ak_tooltip_term_block_desc,Giảm sát thương cuối cùng nhận phải.
ak_tooltip_term_glow_name,Phát sáng
ak_tooltip_term_glow_desc,"Tự phát sáng, có thể xua tan bóng tối."
