--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
buy_item_modal_购买物品,Mua vật phẩm
buy_item_modal_总计,Tổng cộng:
buy_item_modal_购买失败请稍后重试,"Mua thất bại, vui lòng thử lại sau"
buy_item_modal_限购X次,Giới hạn mua {limit} lần
buy_item_modal_可购买礼包,Gói có thể mua
buy_item_modal_购买次数X,Số lần mua {purchased}/{limit}
buy_item_modal_正在确认交易状态,"Mạng không ổn định, đang xác nhận trạng thái giao dịch..."
buy_item_modal_购买处理中,Đang xử lý giao dịch...
buy_item_modal_资产归属提醒,Thông báo quyền sở hữu tài sản
buy_item_modal_点券账户资产商品赛季资产提醒,"Điểm là tài sản tài khoản. Sản phẩm đã mua là tài sản mùa giải và không thể chuyển sang mùa giải mới."
buy_item_modal_账户资产跨赛季共享说明,"Mọi tài sản tài khoản được dùng chung giữa tất cả mùa giải, gồm giới hạn Quỹ Điểm Vĩnh Cửu, Điểm Hồi Phục chưa dùng và số điểm còn lại."
buy_item_modal_我已知晓,Tôi đã hiểu
buy_item_modal_我已知晓倒计时,Tôi đã hiểu ({seconds} giây)
