--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
room_selection_未解锁,Chưa mở khóa
room_selection_未开放,Chưa mở
room_selection_进图材料,Nguyên liệu vào bản đồ
room_selection_请选择目的地,Vui lòng chọn điểm đến
room_selection_传送,Dịch chuyển
room_selection_自动填充,Tự động điền
room_selection_重置材料,Đặt lại nguyên liệu
room_selection_难度X,Độ khó {level}
room_selection_地图传送,Dịch chuyển bản đồ
room_selection_消耗金币X,Tiêu hao vàng {gold}
room_selection_掉落数量提升X,Số lượng rơi +{percent}%
room_selection_选择目的地,Chọn điểm đến
room_selection_稳定度说明,Bản đồ này chưa hoàn toàn ổn định. Vào sớm sẽ làm độ ổn định thấp hơn và tăng mức đe dọa của quái vật. Theo thời gian bản đồ sẽ ổn định dần và mức đe dọa của quái vật sẽ trở lại bình thường.
room_selection_Boss排名未解锁,"Sau khi tiêu diệt, mở khóa thứ hạng lần đầu hạ."
room_selection_Boss自身顺位,Thứ hạng hoàn thành của tôi: {rank}
room_selection_Boss排名加载中,Đang tải bảng xếp hạng hạ boss đầu tiên...
room_selection_Boss排名加载失败,"Tải bảng xếp hạng thất bại, vui lòng thử lại sau."
room_selection_Boss排名暂无记录,Chưa có kỷ lục hạ boss đầu tiên.
room_selection_Boss首杀排名,Xếp hạng hạ boss đầu tiên
room_selection_Boss我的排名,Thứ hạng của tôi
room_selection_我,Tôi
room_selection_简单,Dễ
room_selection_普通,Thường
room_selection_困难,Khó
room_selection_稳定度X,Độ ổn định {pct}
room_selection_正在创建地图,Đang tạo bản đồ...
room_selection_简单模式,Chế độ Dễ
room_selection_困难模式,Chế độ Khó
room_selection_普通模式,Chế độ Thường
room_selection_怪物威胁降低,Mối đe dọa từ quái vật giảm.
room_selection_怪物威胁提升,Mối đe dọa từ quái vật tăng.
room_selection_掉落数量变化X,Số lượng rơi {percent}%
room_selection_标准难度与掉落,Độ khó và vật phẩm rơi tiêu chuẩn.
room_selection_已开启为X难度,Đã bật độ khó {mode}
room_selection_怪物威胁显著提高,Mối đe dọa từ quái vật tăng đáng kể.
room_selection_选择传送方式,Chọn phương thức dịch chuyển.
room_selection_地图加载失败请重试,"Tải bản đồ thất bại, vui lòng thử lại."
room_selection_勇敢是冒险者的墓志铭,“Dũng cảm” là bia mộ của những nhà mạo hiểm.
room_selection_房间不稳定,Phòng không ổn định
room_selection_房间X稳定度Y,{room} độ ổn định {pct}%
room_selection_确认进入不稳定房间,Xác nhận vào phòng không ổn định
room_selection_当前稳定度X,Độ ổn định hiện tại {pct}%
room_selection_房间环境异常说明,"Môi trường phòng bất thường, mối đe dọa từ quái vật sẽ tăng đáng kể."
room_selection_确认进入,Xác nhận vào
room_selection_取消,Hủy