--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
exchange_全部,Все
exchange_装备,Снаряжение
exchange_材料,Материалы
exchange_药剂,Зелье
exchange_符印,Печать
exchange_金币不足,Недостаточно золота!
exchange_交易所,Биржа
exchange_交易等级,Уровень торговли
exchange_当前金币,Текущее золото
exchange_市场,Рынок
exchange_我的挂单,Мои ордера
exchange_输入物品ID,Введите ID предмета
exchange_请输入正确的ID,Введите корректный ID предмета
exchange_查询过于频繁或网络繁忙请稍后再试,Слишком много запросов или сеть занята. Повторите попытку позже.
exchange_搜索,Поиск
exchange_刷新列表,Обновить
exchange_重置,Сброс
exchange_当前没人出售该物品,Сейчас никто не продаёт этот предмет.
exchange_发生异常,Произошла ошибка?
exchange_异常处理,Обработка ошибок
exchange_下架失败购买发货失败记录错误发生时间等待310分,"Снятие с продажи/покупка не удались. Зафиксируйте время ошибки, подождите 3-10 минут, проверьте почту — предметы должны вернуться. Обычно сетевые колебания и ошибки обрабатываются через почтовую систему. Если не решилось, свяжитесь с администратором QQ:294652794"
exchange_购买,Купить
exchange_下架,Снять с продажи
exchange_上架中,Выставляется
exchange_购买中,Покупается
exchange_下架中,Снимается
exchange_已售出,Продано
exchange_该订单已售出,Этот ордер уже продан
exchange_成交价格,Цена сделки
exchange_每件物品,За каждый предмет
exchange_暂无数据,Нет данных
exchange_未知物品,Неизвестный предмет
exchange_暂无描述,Нет описания
exchange_需要售价和售出数量,Требуется указать цену и количество для продажи
exchange_未解锁交易所功能无法上架商品,"Функция обмена не разблокирована, невозможно выставить товар"
exchange_输入数量,Введите количество
exchange_输入单价,Введите цену за единицу
exchange_上架商品,Выставить товар
exchange_未解锁交易所,Биржа не разблокирована
exchange_取消,Отмена
exchange_X级,{level} уровень
exchange_品质X,Качество {quality}
exchange_类型筛选,Фильтр по типу
exchange_等级筛选,Фильтр по уровню
exchange_品质筛选,Фильтр по качеству
exchange_订单编号,Номер заказа: {id}
exchange_最多只能同时挂X个订单,Максимум можно одновременно выставить {count} заказов
exchange_仓库数量,Количество на складе
exchange_当前挂单,Текущий ордер
exchange_挂单数量,Количество ордеров
exchange_挂单单价,Цена за единицу
exchange_手续费说明,Комиссия: {fee} золота. Расход контрактов: {contract}.
exchange_消耗X金币和Y个行会契书,Тратится {gold} золота и {contracts} контрактов гильдии
exchange_消耗X金币,Тратится {gold} золота
exchange_已过期,Истекло
exchange_交易所已禁用请联系管理员,Биржа отключена. Обратитесь к администратору.
exchange_品质普通,Обычный
exchange_品质精良,Качественный
exchange_品质稀有,Редкий
exchange_品质史诗,Эпический
exchange_品质传说,Легендарный
exchange_品质神话,Мифический
exchange_神铸,Божественная ковка
exchange_挂牌价格X金币,Цена продажи: <font color='#ffaa33'>{price}</font> золота
exchange_上架花费,Стоимость размещения: