--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
season_shop_赛季会馆,Hội Quán Mùa
season_shop_赛季,Mùa
season_shop_赛季_s1,Mùa 1
season_shop_赛季_s2,Mùa 2
season_shop_金币,Vàng
season_shop_远古币,Cổ Tệ
season_shop_永恒池上限,Giới hạn Bể Vĩnh Hằng
season_shop_永久纪念章,Huy Chương Kỷ Niệm Vĩnh Viễn
season_shop_剩余时间,{days} ngày {hours}:{minutes}:{seconds}
season_shop_尚未确定,Chưa xác định
season_shop_中国时间X,{time} (Giờ Trung Quốc)
season_shop_赛季已结束,Mùa đã kết thúc
season_shop_结算时间X,Thời gian thanh toán: {time}
season_shop_金币建设,Xây dựng bằng Vàng
season_shop_远古币研究,Nghiên cứu bằng Cổ Tệ
season_shop_赛季建设副标题,Kế hoạch Mùa
season_shop_赛季建设,Xây dựng Mùa
season_shop_个人记录副标题,Kỷ lục cá nhân
season_shop_个人贡献等级,Cấp đóng góp cá nhân
season_shop_个人贡献等级机制,Cơ chế cấp đóng góp cá nhân
season_shop_个人贡献等级机制说明,Cấp đóng góp cá nhân tạo thành một hệ số nhân độc lập: sát thương gây ra ×(1 + 2% × cấp) và sát thương nhận vào ×(1 - 2% × cấp). Cấp này cũng tăng phần thưởng Xu Mùa cơ bản khi kết toán.
season_shop_个人贡献加成说明,Dự kiến nhận {reward} xu mùa · Sát thương độc lập +{damage}% · Kháng sát thương độc lập +{resistance}%
season_shop_全服建设副标题,Xây dựng toàn máy chủ
season_shop_全服建设等级,Cấp xây dựng toàn máy chủ
season_shop_全服建设加成说明,Xu thanh toán +{settlement}% · Sát thương độc lập +{damage}% · Kháng sát thương độc lập +{resistance}%
season_shop_提交资源数量,Nộp {count}
season_shop_建设贡献增加,Đóng góp xây dựng +{count}
season_shop_提交中,Đang nộp...
season_shop_提交资源,Nộp tài nguyên
season_shop_建设已结束,Xây dựng đã kết thúc
season_shop_赛季结算,Kết toán mùa
season_shop_已领取,Đã nhận
season_shop_预计可领取,Dự kiến nhận được
season_shop_赛季币,Xu Mùa
season_shop_领取中,Đang nhận...
season_shop_已结算,Đã thanh toán
season_shop_领取结算,Nhận thanh toán
season_shop_结束后可领取,Có thể nhận sau khi kết thúc
season_shop_当前个人贡献等级,Cấp đóng góp cá nhân hiện tại
season_shop_贡献等级兑换说明,"Nâng cấp cấp độ cống hiến để mở khóa phần thưởng · Mỗi lần đổi cùng một phần thưởng, giá tăng +25%"
season_shop_兑换中,Đang đổi...
season_shop_已兑换完,Đã đổi hết
season_shop_贡献等级解锁,Mở khóa tại cấp cống hiến {level}
season_shop_赛季币不足,Không đủ xu mùa giải
season_shop_立即兑换,Đổi ngay
season_shop_个人贡献等级要求,Cống hiến cá nhân LV.{level}
season_shop_本赛季限购,Giới hạn mùa này: {purchased}/{limit}
season_shop_不限购,Không giới hạn
season_shop_实时贡献副标题,Cống hiến thời gian thực
season_shop_赛季贡献排行,Bảng xếp hạng cống hiến mùa giải
season_shop_赛季贡献排行说明,"Bảng xếp hạng tải một lần khi mở. Sau đó hãy làm mới thủ công; khi mùa giải kết thúc, thứ hạng được cố định và xu mùa giải thưởng thêm được trao khi quyết toán."
season_shop_刷新排行,Làm mới bảng xếp hạng
season_shop_刷新排行倒计时,Làm mới ({seconds} giây)
season_shop_我的实时排名,Thứ hạng hiện tại của tôi
season_shop_未上榜,Chưa vào bảng xếp hạng
season_shop_我的排名详情,{score} cống hiến · thêm {reward} xu mùa giải
season_shop_排名,Thứ hạng
season_shop_玩家,Người chơi
season_shop_贡献积分,Điểm cống hiến
season_shop_结算额外奖励,Thưởng thêm khi quyết toán
season_shop_冠军,Vô địch
season_shop_亚军,Á quân
season_shop_季军,Hạng ba
season_shop_暂无贡献记录,"Chưa có lịch sử cống hiến, hoàn thành một lần xây dựng để vào bảng xếp hạng."
season_shop_赛季纪念章,Huy hiệu kỷ niệm mùa giải
season_shop_赛季纪念章说明,"Huy hiệu kỷ niệm được lưu vĩnh viễn trong tài khoản, dùng để ghi nhận sự tham gia và cống hiến qua các mùa giải."
season_shop_第一赛季开拓纪念章,Huy hiệu kỷ niệm khai phá mùa giải thứ hai
season_shop_赛季贡献纪念章,Huy hiệu kỷ niệm cống hiến {season}
season_shop_等级X,Cấp {level}
season_shop_尚未获得赛季纪念章,"Chưa nhận được huy hiệu kỷ niệm mùa giải, có thể nhận qua quyết toán mùa giải hoặc cửa hàng mùa giải."
season_shop_赛季征程副标题,Hành trình mùa giải
season_shop_距赛季结算,Còn {time} đến khi quyết toán mùa giải
season_shop_账号赛季币,Xu mùa giải của tài khoản
season_shop_刷新,Làm mới
season_shop_赛季档案副标题,Hồ sơ mùa giải
season_shop_赛季档案,Hồ sơ mùa giải
season_shop_贡献排行,Bảng xếp hạng cống hiến
season_shop_赛季商店,Cửa hàng mùa giải
season_shop_纪念章数量,Huy hiệu kỷ niệm {count}
season_shop_身份_tax,Nộp thuế
season_shop_身份_hunting,Săn bắn
season_shop_身份_gold,Vàng đang giữ
season_shop_身份_warehouse_value,Giá trị kho hàng
season_shop_身份_sponsor,Cấp độ tài trợ
season_shop_赞助身份提示,{board} {level}
season_shop_排行身份提示,{board} biểu tượng bảng xếp hạng · Hạng {level}