--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
DOTA_Tooltip_ability_mid_mode_tower_amplify_Description,在该模式下，高塔获得额外%health_bonus%点生命、%armor_bonus%点护甲、%magic_resist%%%魔法抗性、%dmg_res_pct%%%伤害减免、%attack_speed_bonus%点攻速和%projectile_speed_bonus%点攻击弹道速度。<br>攻击英雄时，攻击不会丢失，并且额外造成一次英雄当前生命值%bonus_pure_damage_pct%%%的纯粹伤害。<br>中路防御塔二塔被摧毁时，敌方将会出动超级士兵。<br>游戏进行到%weak_time%分钟后，高塔会开始变得脆弱。每分钟承受伤害提高%weak_pct%%%。,"In this mode, the towers gain additional %health_bonus% health, %armor_bonus% armor, %magic_resist%%% magic resistance, %dmg_res_pct%%% damage reduction, %attack_speed_bonus% attack speed and %projectile_speed_bonus% projectile speed.<br>When attacking heroes, attacks cannot miss and deal an additional %bonus_pure_damage_pct%%% of the hero's current health as pure damage.<br>When the second tower in the middle lane is destroyed, the enemy will send out super soldiers.<br>After %weak_time% minutes into the game, the towers will start to weaken. Damage taken increases by %weak_pct%%% every minute.","В этом режиме высокая башня получает дополнительно %health_bonus% единиц здоровья, %armor_bonus% единиц брони, %magic_resist%%% магического сопротивления, %dmg_res_pct%%% снижения урона, %attack_speed_bonus% единиц скорости атаки и %projectile_speed_bonus% единиц скорости полета снарядов.<br>При атаке героя атака не промахивается и дополнительно наносит %bonus_pure_damage_pct%%% текущего здоровья героя в виде чистого урона.<br>Когда вторая башня на среднем пути защиты разрушена, враги вышлют своих супер-солдат.<br>После %weak_time% минут игры башни начнут слабеть. Получаемый урон увеличивается на %weak_pct%%% каждую минуту.",防御塔技能
DOTA_Tooltip_ability_mid_mode_fort_amplify,基地加固,Base Reinforcement,Укрепление базы,基地技能
DOTA_Tooltip_ability_mid_mode_fort_amplify_Description,在该模式下，基地获得额外%health_bonus%点生命、%armor_bonus%点护甲、%magic_resist%%%魔法抗性、%dmg_res_pct%%%伤害减免和%health_regen_bonus%点每秒的生命回复。<br>游戏进行到%weak_time%分钟后，基地会开始变得脆弱。每分钟承受伤害提高%weak_pct%%%。,"In this mode, the base gains an additional %health_bonus% health, %armor_bonus% armor, %magic_resist%%% magic resistance, %dmg_res_pct%%% damage reduction and %health_regen_bonus% health regeneration per second.<br>After %weak_time% minutes into the game, the base will start to weaken. Damage taken increases by %weak_pct%%% every minute.","В этом режиме база получает дополнительно %health_bonus% единиц здоровья, %armor_bonus% единиц брони, %magic_resist%%% магического сопротивления, %dmg_res_pct%%% снижения урона и %health_regen_bonus% единиц восстановления здоровья в секунду.<br>После %weak_time% минут игры база начнет слабеть. Получаемый урон увеличивается на %weak_pct%%% каждую минуту.",基地技能
DOTA_Tooltip_ability_mid_mode_tower_amplify,高塔加固,Towering Reinforcement,усиление высокой башни,防御塔技能
DOTA_Tooltip_ability_mid_mode_tower_magic_regen_aura,高塔魔能,Towering Magecraft,Магическая башня,防御塔技能
DOTA_Tooltip_ability_mid_mode_tower_magic_regen_aura_Description,使高塔附近%aura_radius%范围内的友军每秒回复%mana_regen_constant%点+%mana_regen_total_pct%%%最大魔法值的魔法。,"Empowers allies within %aura_radius% range of the tower, causing them to regenerate %mana_regen_constant% + %mana_regen_total_pct%%% of their maximum mana per second.","Усиливает ближайших союзников в радиусе %aura_radius% от башни, позволяя им восстанавливать %mana_regen_constant% + %mana_regen_total_pct%%% от их максимальной маны каждую секунду.",防御塔技能
DOTA_Tooltip_ability_mid_mode_tower_ancient_protection,远古的加护,Ancient Blessing,Древнее благословение,防御塔技能
DOTA_Tooltip_ability_mid_mode_tower_ancient_protection_Description,当该单位被摧毁时，赋予所有英雄阿哈利姆魔晶。<br>若英雄已经拥有阿哈利姆魔晶，且是敌方英雄，则改为给与%gold_bounus%金币和%xp_bonus%经验。,"When this unit is destroyed, grant all heroes Aghanim's Shard. If a hero already has Aghanim's Shard and is an enemy hero,instead of give %gold_bounus% gold and %xp_bounus% experience.","Когда этот юнит уничтожается, все союзные герои получают Осколок Аганима.",防御塔技能
DOTA_Tooltip_ability_bless_10169_cat_ability_1,撤退！,Retreat!,Отступать!,指挥官技能 - 撤退
DOTA_Tooltip_ability_bless_10169_cat_ability_1_Description,使所有己方英雄向泉水移动时，移动速度+%speed_ally%。使所有敌方英雄向我方泉水移动时，移动速度-%speed_enemy%。,"When allied heroes move towards the fountain, they gain +%speed_ally% movement speed, and enemy heroes moving towards your fountain have -%speed_enemy% movement speed.","Когда союзные герои движутся к фонтану, они получают +%speed_ally% к скорости передвижения, а вражеские герои, движущиеся к вашему фонтану, теряют %speed_enemy% скорости передвижения.",指挥官技能 - 撤退
