--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
change_当前,Текущий
change_职业天赋,Талант класса
change_职业进阶,Повышение класса
change_职业技能,Навыки класса
change_暂无可切换技能,Нет навыков для переключения
change_解锁职业,Разблокировать класс
change_职业进阶_2,Повышение класса
change_已达到最高阶,Достигнут максимальный ранг
change_切换职业,Сменить класс
change_该职业暂无天赋树数据,У этого класса пока нет данных о дереве талантов
change_返回,Назад
change_X阶,{tier} ранг
change_X阶职业名,{tier} ранг {name}
change_需要X级,Требуется {level} уровень
change_战士,Воин
change_法师,Маг
change_辅助,Поддержка
change_刺客,Ассасин
change_射手,Стрелок
change_职业方案,Схема класса
change_预设方案,Готовая схема
change_技能配置,Настройка навыков
change_确认转职,Подтвердить смену класса
change_装备预设,Пресет экипировки
change_应用预设,Применить пресет
change_应用方案,Применить план
change_清空预设,Очистить пресет
change_装备配置,Конфигурация экипировки
change_导入当前配置,Импортировать текущую конфигурацию
change_当前已应用,Сейчас применено
change_战斗通知其余物品前缀, и ещё
change_战斗通知其余物品后缀, шт.
change_有未应用修改,Есть неприменённые изменения
change_方案待应用,План ожидает применения
change_已保存,Сохранено
change_预设操作失败,Сбой операции с пресетом
change_仅可在基地操作,Только на базе
change_装备正在重铸,Экипировка перековывается
change_具体装备正在重铸,{item} перековывается
change_仓库空间不足,Недостаточно места на складе
change_背包空间不足,Недостаточно места в инвентаре
change_技能配置无效,Конфигурация навыков недействительна
change_具体技能配置无效,{skill} больше не подходит для этой схемы
change_装备事务异常需重进,"Произошла ошибка при работе с экипировкой. Пожалуйста, перезайдите в игру и повторите операцию."
change_操作正在进行,Операция выполняется...
change_预设已发生变化,Пресет изменился
change_预设槽_装备1,1
change_预设槽_装备2,2
change_预设槽_装备3,3
change_预设槽_装备4,4
change_预设槽_装备5,5
change_预设槽_装备6,6
change_预设槽_符印1,Печать 1
change_预设槽_符印2,Печать 2
change_预设槽_符印3,Печать 3
change_预设槽_钱包,Кошелёк
change_预设槽_宝物,Сокровище
change_预设槽_宠物,Питомец