--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
loading_不要贪心下一把也许就是你的神装开局,"Đừng tham lam, ván sau có thể là khởi đầu thần trang cho bạn."
loading_流派构筑与装备组合,Lối chơi & trang bị
loading_房间推进与撤离收益,Khám phá & rút lui
loading_成长养成与长期仓库,Phát triển & kho
loading_当前阶段,Giai đoạn
loading_公测调优中,Open Beta
loading_当前服务器,Máy chủ
loading_测试讨论Q群,Nhóm QQ
loading_在钢铁火焰与战利品之间整理你的武装选择你的推进节,Chuẩn bị vũ khí. Chọn hướng đi.
loading_主菜单,Menu
loading_准备进入据点,Vào căn cứ
loading_完成资格验证后即可进入基地建议先查看背包制作与成,Chuẩn bị trang bị trước chuyến đi.
loading_进入游戏,Chơi
loading_公测试玩版本主界面已完成资格校验后展示,Phiên bản chơi thử Closed Beta · Giao diện chính hiển thị sau khi xác thực tư cách
loading_小贴士,Mẹo nhỏ: 
loading_离线模式,Chế độ ngoại tuyến
loading_一起开黑,Chơi cùng
loading_系统正在维护,Hệ thống đang bảo trì
loading_请求服务器配置中,Đang yêu cầu cấu hình máy chủ...
loading_系统初始化中,Hệ thống đang khởi tạo...
loading_正在校验存档与测试资格,Đang xác thực dữ liệu lưu và tư cách thử nghiệm...
loading_激活码验证中,Đang xác thực mã kích hoạt...
loading_正在进入游戏,Đang vào trò chơi...
loading_服务器载入中,Máy chủ đang tải...
loading_维护强制结束倒计时,"Máy chủ hiện đang bảo trì, trò chơi sẽ kết thúc sau {seconds} giây"
loading_服务器维护中请稍后再试,"Máy chủ đang bảo trì, vui lòng thử lại sau"
loading_连接失败X秒后重试,"Kết nối thất bại, thử lại sau {seconds} giây"
loading_一定不要摸小猫,Tuyệt đối đừng chạm vào mèo con.